surv	term	estimate	std.error	statistic	p.value	conf.low	conf.high	N	variable
PFS	D_IM_LIGHT_CHAIN_BY_FLOW2bi-clonal	6.292121235963509e-7	1188.0864897700153	-0.012018314761276823	0.9904110030446075	0	Inf	1	D_IM_LIGHT_CHAIN_BY_FLOW2
PFS	D_IM_LIGHT_CHAIN_BY_FLOW2kappa	0.693958658298222	0.15098538570992026	-2.4197235295811432	0.015532311202107286	0.516195964926371	0.9329375898855771	1	D_IM_LIGHT_CHAIN_BY_FLOW2
PFS	D_IM_LIGHT_CHAIN_BY_FLOW2lambda	0.8240333398501343	0.15970176704366484	-1.2119107539686664	0.22554654515445643	0.6025684557430427	1.12689427850523	1	D_IM_LIGHT_CHAIN_BY_FLOW2
OS	sctflag	0.22199668428485936	0.17530750548921534	-8.5854443520547	9.048599609555409e-18	0.1574434032322054	0.31301741973137603	1	sctflag
PFS	sctflag	0.3614208892331902	0.10641002398260314	-9.564062327381832	1.1322313883652575e-21	0.2933843026530802	0.4452353380629602	1	sctflag
OS	NOTE_TRANSLOCATIONt(11;14)	0.944351403771115	0.20342720061342554	-0.2814615359902466	0.7783564258887005	0.6338348046250795	1.4069905396438196	1	NOTE_TRANSLOCATION
OS	NOTE_TRANSLOCATIONt(14;16)	1.2682746957018565	0.36765772861430557	0.6464095571639474	0.5180141526091768	0.6169678044820919	2.6071388037952725	1	NOTE_TRANSLOCATION
OS	NOTE_TRANSLOCATIONt(14;20)	2.605954570398576	0.4588607845838697	2.0873412547663626	0.03685729809863999	1.0601903146747411	6.405452991772197	1	NOTE_TRANSLOCATION
OS	NOTE_TRANSLOCATIONt(4;14)	1.2949486249950073	0.2140871785660321	1.207316684153063	0.2273102077753019	0.851179591362376	1.9700800611213793	1	NOTE_TRANSLOCATION
OS	NOTE_TRANSLOCATIONt(6;14)	0.4785857244293271	1.005239592259755	-0.7330788972070226	0.4635103102047679	0.0667264850018229	3.4325844620960715	1	NOTE_TRANSLOCATION
PFS	NOTE_TRANSLOCATIONt(11;14)	0.9917954814879303	0.134876515874605	-0.06108076527826543	0.9512948876287862	0.7614037771256236	1.2919009685153982	1	NOTE_TRANSLOCATION
PFS	NOTE_TRANSLOCATIONt(14;16)	1.2096465293892469	0.25197085805853137	0.7553579565779619	0.45003423262186404	0.7382109799932728	1.9821497725173152	1	NOTE_TRANSLOCATION
PFS	NOTE_TRANSLOCATIONt(14;20)	1.6746854512956748	0.38417464716088034	1.3421639381504065	0.1795428463082848	0.7887206198376502	3.5558489156257758	1	NOTE_TRANSLOCATION
PFS	NOTE_TRANSLOCATIONt(4;14)	1.193874008439185	0.1506700970011752	1.1761025734996666	0.23955388967260605	0.8886032110893234	1.6040175527605325	1	NOTE_TRANSLOCATION
PFS	NOTE_TRANSLOCATIONt(6;14)	0.35676333509052227	0.7106096560736263	-1.4504202625783393	0.14694136002494182	0.08861519128023168	1.4363234500325	1	NOTE_TRANSLOCATION
OS	HyperdiploidYes	0.6833755434561621	0.27050537369535355	-1.4074054105218674	0.15930720775419752	0.4021655269294117	1.1612187075297815	1	Hyperdiploid
PFS	HyperdiploidYes	0.764460342668726	0.17329664705087458	-1.5498576174567198	0.12117569414877259	0.5443078369799215	1.073656441832094	1	Hyperdiploid
OS	DEL_maj_broad_chr_17p	1.9487871309127662	0.24327895600858218	2.742560252077183	0.006096226466237924	1.2097203327588542	3.1393795563889713	1	DEL_maj_broad_chr_17p
PFS	DEL_maj_broad_chr_17p	1.315630423529299	0.19073281747642712	1.438221088049423	0.15037133362054578	0.9052777351941186	1.9119915844884106	1	DEL_maj_broad_chr_17p
OS	DEL_maj_broad_chr_1p	1.6314109030670592	0.27916355376014895	1.7532561773465052	0.07955804402828995	0.9439280952288921	2.819601988857735	1	DEL_maj_broad_chr_1p
PFS	DEL_maj_broad_chr_1p	1.4350419757916153	0.20358564147948147	1.7741629398893612	0.07603620235410127	0.9628800584253336	2.138735197872617	1	DEL_maj_broad_chr_1p
OS	DEL_maj_focal_TP53	1.8025089159811467	0.22009046095709087	2.676988062342178	0.00742872817478249	1.170943881386643	2.7747174256924985	1	DEL_maj_focal_TP53
PFS	DEL_maj_focal_TP53	1.2283960265635672	0.17133876159936007	1.2005997534668538	0.22990649673733915	0.8780001390682644	1.7186293383489302	1	DEL_maj_focal_TP53
OS	AMP_maj_broad_chr_1q	1.7834278651845041	0.15383408315077313	3.7607873853452443	1.6937935388189e-4	1.3192033303458055	2.4110119169293003	1	AMP_maj_broad_chr_1q
PFS	AMP_maj_broad_chr_1q	1.3917418921735878	0.1078671752328269	3.0644737077503765	0.0021805333992116122	1.126528008483583	1.7193939962826459	1	AMP_maj_broad_chr_1q
OS	DEL_maj_broad_chr_13q	1.3123195858801686	0.15256500477814786	1.78151108803484	0.07482899512971283	0.9731416107879041	1.769714372906459	1	DEL_maj_broad_chr_13q
PFS	DEL_maj_broad_chr_13q	1.2895822197731717	0.10333378638429967	2.4611340992831963	0.013849858893962575	1.0531522457708724	1.5790901156345383	1	DEL_maj_broad_chr_13q
OS	MMrisk_CLASSIFIER_ALL1	1.9410335803524408	0.19376995323431337	3.4227216011011103	6.19975396058033e-4	1.3276871917856226	2.8377251685230984	1	MMrisk_CLASSIFIER_ALL
OS	MMrisk_CLASSIFIER_ALL2	1.3949855481723625	0.1826170753994538	1.8228528452689743	0.06832568144387657	0.9752720363513672	1.9953250037701844	1	MMrisk_CLASSIFIER_ALL
PFS	MMrisk_CLASSIFIER_ALL1	1.6746762699250188	0.1347406981512168	3.8267567408061423	1.2984271495496103e-4	1.2859952848478484	2.180832730954991	1	MMrisk_CLASSIFIER_ALL
PFS	MMrisk_CLASSIFIER_ALL2	1.387473876313301	0.11924877362473621	2.7462315009583365	0.0060284208430286205	1.0982977015479127	1.7527886607963337	1	MMrisk_CLASSIFIER_ALL
OS	OLD	2.352940323624786	0.15863565766915583	5.3939055075671	6.894248355674398e-8	1.724169649362693	3.211011264805591	1	OLD
