log2_FoldChange	pvalue	neg_log10_pvalue	gene	strict	status	top20
0.1838534629466433	1	-0	WDR54	0	NA	0
0.2671000826439802	1	-0	CROT	0	NA	0
-0.7063024864888845	0.8860320453168721	0.05255057060435573	ABCB4	0	NA	0
-0.04744103104349673	1	-0	KMT2E	0	NA	0
-0.059927517576773504	1	-0	RHBDD2	0	NA	0
-1.1155488921302243	0.33407023257478125	0.47616222057397534	SOX8	0	NA	0
0.18996040638276934	1	-0	IBTK	0	NA	0
-0.11702352182425102	1	-0	ZNF195	0	NA	0
-1.107148166988738	0.03434187632306436	1.4641759801567078	MYCBP2	0	downreg	0
-0.6669231349811247	0.9999999737194494	1.141349826761549e-8	FBXL3	0	NA	0
-0.33655937641992306	0.9999553116946359	1.940831809088117e-5	ITGAL	0	NA	0
-0.037168552472230054	1	-0	PDK2	0	NA	0
-0.07436939314609425	1	-0	ITGA3	0	NA	0
-0.0036559516104279766	1	-0	ZFX	0	NA	0
0.006159806486822461	1	-0	LAMP2	0	NA	0
-0.44431235396759805	0.9990934933921215	3.938693671866818e-4	ITGA2B	0	NA	0
-0.0479677815695112	1	-0	GDE1	0	NA	0
-0.24848823863576808	1	-0	REX1BD	0	NA	0
-0.019098078550880637	1	-0	CRLF1	0	NA	0
-0.442950072055023	1	-0	OSBPL7	0	NA	0
1.5296833229787175	0.02830982935599224	1.5480627484368856	TMEM98	0	upreg	0
0.2588379374991838	0.999730769311845	1.1694114500366731e-4	YBX2	0	NA	0
0.053878007976265074	1	-0	MAP3K14	0	NA	0
0.3394446639049882	0.992554887213291	0.0032454678849872893	CACNG3	0	NA	0
-0.08783343495362494	0.9998334027964798	7.235827369972738e-5	TMEM132A	0	NA	0
0.31138649574151867	1	-0	AP2B1	0	NA	0
0.6729469154070875	0.9491906248844896	0.022646559941677795	TAC1	0	NA	0
-0.07302165661668525	1	-0	ZNF263	0	NA	0
0.021796926941744843	1	-0	SPATA20	0	NA	0
-0.09947682653517564	0.9999996683158856	1.4404860450660888e-7	TNFRSF12A	0	NA	0
0.8033906707477776	0.8476733425667708	0.07177147421934467	DLX6	0	NA	0
-0.3007450775523446	0.9999999999995852	1.8013637075219138e-13	MAP3K9	0	NA	0
0.09628816028902154	1	-0	RALA	0	NA	0
0.9536865401431054	0.5832984111808264	0.23410920652273545	BAIAP2L1	0	NA	0
0.004379396830441529	1	-0	KDM7A	0	NA	0
0.01138250304247701	0.9991413511198222	3.73066660119609e-4	ETV1	0	NA	0
0.35865481269706745	1	-0	AGK	0	NA	0
-0.2141603519900448	0.999999892219803	4.680834733350813e-8	ALDH3B1	0	NA	0
-0.1195670752264335	0.999999999999998	8.678947198979593e-16	TTC22	0	NA	0
0.4143111027004447	1	-0	PHTF2	0	NA	0
-0.15778716661551684	1	-0	FARP2	0	NA	0
0.024424092618541504	1	-0	GGCT	0	NA	0
-0.016469415052293712	1	-0	DBF4	0	NA	0
0.5168556808925246	0.9901883171271447	0.004282202057398501	TBXA2R	0	NA	0
-0.12401495202895241	0.9999999999999999	4.821637332766436e-17	IFRD1	0	NA	0
2.412862607527579	1.4772630215464341e-6	5.830542173180526	LGALS14	1	upreg	0
0.04120455011689694	1	-0	COX10	0	NA	0
1.419156805342693	0.05430160166983983	1.2651873603537944	GTF2IRD1	0	NA	0
0.010957749987727361	1	-0	PAF1	0	NA	0
0.11862545652549272	1	-0	VPS41	0	NA	0
0.2738249096513361	0.9947467835395437	0.0022874564472547304	ARHGAP44	0	NA	0
0.20311228066553966	1	-0	ELAC2	0	NA	0
-1.7369760778264585	0.00709971252520476	2.1487592359632983	SCIN	0	downreg	0
-0.4653959795703393	0.9549463420936694	0.020021030497215226	ARSD	0	NA	0
-0.186461398016172	1	-0	PNPLA4	0	NA	0
-0.03496958515413784	1	-0	ADIPOR2	0	NA	0
-0.007119760715877388	1	-0	CDKL3	0	NA	0
-0.6243258263637328	0.8738521408623403	0.058562045443331934	PRSS21	0	NA	0
-0.1356839201111275	1	-0	MARK4	0	NA	0
1.2962133747879725	0.0771145017427815	1.1128639431598841	PROM1	0	NA	0
0.046518152394273926	1	-0	CCDC124	0	NA	0
-0.33975070136056473	0.9999999998438713	6.78058179212677e-11	CEACAM21	0	NA	0
0.06353437302323695	1	-0	PAFAH1B1	0	NA	0
0.08912428648617166	0.9999921657846853	3.4023698086801573e-6	DNAH9	0	NA	0
-0.04024152337592124	1	-0	KIAA0100	0	NA	0
-0.24833809189638134	0.9980983669746215	8.26654976078603e-4	GAS7	0	NA	0
-0.23653593474315437	1	-0	TRAPPC6A	0	NA	0
-0.1270789083894659	0.9998482247924367	6.592013778229666e-5	MATK	0	NA	0
-0.48931218944236576	0.9999999999999398	2.6133274343594866e-14	CD79B	0	NA	0
-0.3208400033166632	0.9999879266922002	5.243402608461587e-6	SCN4A	0	NA	0
-0.3224518249481796	1	-0	ST7L	0	NA	0
0.0860425098086468	0.9999708778222426	1.2647785267469134e-5	TKTL1	0	NA	0
-0.5515074999475824	0.9999985115150998	6.464412596731839e-7	PAX6	0	NA	0
-0.04080038551935683	1	-0	RPUSD1	0	NA	0
0.15081093636657697	0.9999999964889121	1.524846087877706e-9	RHBDF1	0	NA	0
-0.6541159448367164	0.9999999975641792	1.0578635194365927e-9	LUC7L	0	NA	0
-0.17047558307723898	0.9999999999999629	1.6104268691440194e-14	CACNA2D2	0	NA	0
-0.4844720074493105	0.9988713534445677	4.904417908538701e-4	BAIAP3	0	NA	0
0.12315948518626207	1	-0	TSR3	0	NA	0
-0.06144965104428124	1	-0	PIGQ	0	NA	0
-0.10656057373299888	1	-0	CRAMP1	0	NA	0
0.8746794015542578	0.7401438059767074	0.13068389097915475	TEAD3	0	NA	0
-0.19974467916824423	0.9999538410581216	2.004703642684789e-5	SELE	0	NA	0
0.06520792186498614	1	-0	DNAJC11	0	NA	0
0.06558154572880337	0.9997328709178163	1.1602818428951879e-4	FMO3	0	NA	0
-0.3889028818427098	0.9999981956131487	7.836359597156307e-7	MYLIP	0	NA	0
0.03076868559616175	0.9999998846560756	5.0093232782043833e-08	NOX1	0	NA	0
1.4460373386457506	7.626595392947877e-4	3.1176692932430043	E2F2	0	upreg	0
0.02319656037206208	1	-0	PSMB1	0	NA	0
0.3890804165753323	0.9993273957348183	2.92206601596077e-4	SYN1	0	NA	0
-0.06154404330584029	1	-0	JARID2	0	NA	0
0.26184674939862285	0.9999999999938334	2.6781302401200463e-12	CDKL5	0	NA	0
-0.08881386486062848	1	-0	CDK11A	0	NA	0
0.0636894004168731	1	-0	NADK	0	NA	0
0.2641304352689824	0.9999935599622944	2.796881844794369e-6	DLEC1	0	NA	0
1.1150848364215187	0.23215560198404428	0.6342208322157504	CYTH3	0	NA	0
1.0982177325436646	0.25188703382396826	0.5987941877366395	ADAM22	0	NA	0
0.12092831962925032	0.9999999798147338	8.766349830631795e-9	SYPL1	0	NA	0
0.06881867688211862	1	-0	CYB561	0	NA	0
0.07051044072816115	1	-0	SPAG9	0	NA	0
0.36034082340209217	0.9998380671191305	7.033225130606674e-5	CELSR3	0	NA	0
-0.09011300139401168	0.9999999999990077	4.309579448028778e-13	AASS	0	NA	0
0.08775972606913829	1	-0	SS18L2	0	NA	0
-0.5029145049805446	1	-0	MPND	0	NA	0
0.7567576833066052	0.770144449724564	0.1134278101071333	MGST1	0	NA	0
-0.03634161784800005	0.9999999964390893	1.546483860514233e-9	CRY1	0	NA	0
-0.5940732858990125	0.9568023081339434	0.019177785687785994	PGLYRP1	0	NA	0
-1.175567448824921	0.2040219102173632	0.6903231905371469	NFIX	0	NA	0
0.7030489427904927	0.9323054413584947	0.030441781031680257	ST3GAL1	0	NA	0
-0.43399510245646555	0.9924460948372607	0.0032930728273099087	MMP25	0	NA	0
0.5741828357917942	0.9569369241495288	0.019116687506952647	IL32	0	NA	0
-0.22078069386865362	1	-0	PKD1	0	NA	0
0.047123186520974136	0.9999999999999993	2.8929823996598625e-16	MAPK8IP2	0	NA	0
0.15550781911934752	1	-0	MED24	0	NA	0
0.33194345607957354	0.9999999999601717	1.7297189984284096e-11	RHOBTB2	0	NA	0
0.19754298666046743	1	-0	HEATR5B	0	NA	0
-0.44314659377656795	1	-0	SEC62	0	NA	0
-0.37462556615801823	1	-0	RPS20	0	NA	0
-0.2502272715511076	1	-0	CSDE1	0	NA	0
0.16806149855163444	1	-0	UBE3C	0	NA	0
0.044235492274402155	1	-0	REV3L	0	NA	0
1.9256003081945587	8.367915985978119e-4	3.077382688779056	TENM1	0	upreg	0
-0.4054527543787908	0.9999999999927656	3.1418753187886298e-12	MASP2	0	NA	0
0.1452266735840415	1	-0	FAM76A	0	NA	0
0.41673308604834247	0.9996674527580421	1.4444745128660725e-4	TRAF3IP3	0	NA	0
-0.1153749577402503	1	-0	POMT2	0	NA	0
0.14476936078371905	1	-0	VTA1	0	NA	0
0.09833757223985629	1	-0	BAZ1B	0	NA	0
0.08705946592830038	1	-0	RANBP9	0	NA	0
-1.2489194051634143	0.2124453713310945	0.6727527266938492	ETV7	0	NA	0
0.6945788951720404	0.9999999994069517	2.5755759434625003e-10	SPRTN	0	NA	0
0.6600572693263556	0.9999442068876323	2.4231316806075452e-5	METTL13	0	NA	0
0.18446531941089317	1	-0	DYRK4	0	NA	0
0.04083920681829234	1	-0	ZNF207	0	NA	0
0.039265022399331606	1	-0	UQCRC1	0	NA	0
-0.013733845460004446	1	-0	STARD3NL	0	NA	0
0.8465665470960615	0.6860133317824194	0.16366744425931462	CD9	0	NA	0
0.14544760415797064	1	-0	NCAPD2	0	NA	0
-0.34653714338626784	1	-0	IFFO1	0	NA	0
-0.23531721257739457	0.9998202783288054	7.80591447483551e-5	GIPR	0	NA	0
0.01202961352012899	1	-0	PHF7	0	NA	0
0.953420719510511	0.5951967070827304	0.22533948018354116	SEMA3G	0	NA	0
-0.24341230925310153	1	-0	NISCH	0	NA	0
-0.7482284370037227	0.8926330480953053	0.04932703824416086	STAB1	0	NA	0
0.12827907235168778	1	-0	FUZ	0	NA	0
0.14350865232491627	0.9999999997373895	1.1405028623863275e-10	SLC6A13	0	NA	0
0.22670349648288113	1	-0	IDS	0	NA	0
0.2754105914414662	1	-0	ZNF200	0	NA	0
-0.988541819704488	0.5186449437448698	0.2851298516726137	CD4	0	NA	0
0.05107624354169893	1	-0	LRRC23	0	NA	0
-0.14780813386649783	1	-0	BTK	0	NA	0
0.30249717620580646	0.9999984821830141	6.591800417616827e-7	HFE	0	NA	0
-0.27596697225385647	1	-0	SCMH1	0	NA	0
-0.43409736382277697	0.9963878554742566	0.0015715745243896088	FYN	0	NA	0
-0.353211549949795	0.9999999999999996	1.9286549331065747e-16	HIVEP2	0	NA	0
1.3112419154816246	0.10100187758656527	0.9956705527727503	FMO1	0	NA	0
0.07037128758600808	1	-0	ELOA	0	NA	0
0.016773708963862433	1	-0	LYPLA2	0	NA	0
0.046750497488665665	1	-0	CLCN6	0	NA	0
-0.8434737029366257	0.7595917795283822	0.11941974394131341	MRC2	0	NA	0
-0.3913906831037339	0.9999999999987051	5.623475621209134e-13	NME1-NME2	0	NA	0
0.25774883343664046	0.9985630512282851	6.245077226712968e-4	TSPAN9	0	NA	0
-0.01969684005167771	1	-0	BTBD7	0	NA	0
-0.09747985062737552	1	-0	APBA3	0	NA	0
0.2518234034063316	0.999999999999998	8.678947198979593e-16	MKS1	0	NA	0
0.3970633570152686	1	-0	ABHD5	0	NA	0
-0.9977914206626899	0.5029717665338443	0.2984563926432636	ANOS1	0	NA	0
-0.25239234678416356	1	-0	AKAP8L	0	NA	0
-0.0511268018118356	1	-0	MBTD1	0	NA	0
0.11812486125983845	1	-0	UTP18	0	NA	0
-0.08654714860517121	1	-0	RNF216	0	NA	0
0.05877089772894717	1	-0	TTC19	0	NA	0
0.08252332171287424	1	-0	PTBP1	0	NA	0
0.38818119921091965	0.9999951032917842	2.1266185643299796e-6	DPF1	0	NA	0
0.03328740509871553	1	-0	LARS2	0	NA	0
-0.1673486294274129	1	-0	PIK3C2A	0	NA	0
-0.24016906122475717	0.9987902640342968	5.25699697530985e-4	PLAUR	0	NA	0
0.6806776161144328	0.9907131539376951	0.00405207073649774	ANLN	0	NA	0
0.01943180748285034	1	-0	WIZ	0	NA	0
-0.11675268418202833	1	-0	RABGAP1	0	NA	0
-0.9723498189517312	0.5373536913038995	0.2697397634290072	DCN	0	NA	0
-0.2582068534364854	1	-0	QPCTL	0	NA	0
0.1083973122934081	1	-0	PPP5C	0	NA	0
0.07925817762118426	1	-0	CEP68	0	NA	0
-0.02536850678485969	1	-0	MAP4K3	0	NA	0
0.8748644701838983	0.7898020034287502	0.10248176895735311	ZBTB32	0	NA	0
-1.2162285710518732	0.19248046512934502	0.7156133405296677	TYROBP	0	NA	0
0.047146514510346016	1	-0	LDAF1	0	NA	0
1.0134853748024528	0.48484431724585625	0.31439769029458214	GABRA3	0	NA	0
0.2896005586685897	0.9999999997035551	1.2874437066346584e-10	BRCA1	0	NA	0
-0.5709160478500417	1	-0	ERCC1	0	NA	0
-0.7846326631652869	0.8164535181842133	0.08806853520254275	CD22	0	NA	0
0.9329038692381573	0.7200214160525401	0.14265458588106478	SEMA3B	0	NA	0
0.45653406414826003	1	-0	MBTPS2	0	NA	0
-0.15797997613605874	1	-0	PRICKLE3	0	NA	0
-0.700646767561254	0.8342875238119166	0.07868425093871591	LTF	0	NA	0
-0.13351194984776704	1	-0	EXTL3	0	NA	0
0.023677809153091367	1	-0	ELOVL5	0	NA	0
-1.3015659497153802	0.03541774654594847	1.4507790742524616	ALOX5	0	downreg	0
-2.5175528531230156	0.008119961636103299	2.0904460226391204	KDM5D	0	downreg	0
-0.0655049839264139	1	-0	CALCOCO1	0	NA	0
0.0889237841761421	1	-0	UBR7	0	NA	0
-0.32199955332164976	1	-0	MAP4K5	0	NA	0
1.4009860842861914	0.04255739337082643	1.3710249803214307	EHD3	0	upreg	0
0.13949723623109378	1	-0	PSMC4	0	NA	0
-0.2377483954047248	1	-0	MAN2B2	0	NA	0
-0.1492462240789062	1	-0	CLDN11	0	NA	0
0.16708215828720263	1	-0	SLC25A39	0	NA	0
0.2865412514670824	1	-0	MVP	0	NA	0
-0.3421843478092059	0.9999992719931405	3.1616947693921444e-7	NUB1	0	NA	0
0.07027987750210585	1	-0	PGM3	0	NA	0
0.014167546118756036	1	-0	RWDD2A	0	NA	0
-0.25418269556333506	1	-0	CLK1	0	NA	0
0.24249786244356608	1	-0	POLR3B	0	NA	0
-0.45145992018803316	0.9999999999984543	6.712683494682619e-13	ANGEL1	0	NA	0
0.04749367807550087	1	-0	RNF14	0	NA	0
0.2925487092528556	1	-0	DNASE1L1	0	NA	0
-0.09950295466544734	1	-0	DDX11	0	NA	0
0.21488781268913826	0.9999999999989125	4.722793767447291e-13	HEBP1	0	NA	0
0.6068806565854006	0.9415985305887594	0.026134227902186908	GPRC5A	0	NA	0
-0.9336148341533531	0.5789935031916543	0.23732630940528304	MAMLD1	0	NA	0
1.4195274709492303	0.026901892199168238	1.5702171719397384	CD6	0	upreg	0
0.0343698657948206	1	-0	TACC3	0	NA	0
0.17517363606552205	1	-0	UFL1	0	NA	0
-0.18090688131733446	1	-0	POLA2	0	NA	0
0.20808542691779897	1	-0	ZC3H3	0	NA	0
-0.17392590230111793	1	-0	CAPN1	0	NA	0
0.7346282417321417	0.8313662789939039	0.0802075948693424	ACP3	0	NA	0
0.3086232820966943	1	-0	MDH1	0	NA	0
-0.06477662684523633	1	-0	SLC30A9	0	NA	0
1.7285923543460724	3.3357800376623184e-7	6.476802594598747	MTMR11	1	upreg	0
0.29036218858460483	1	-0	COX15	0	NA	0
-0.49203565620265355	0.999999999997977	8.785987547775886e-13	CCDC88C	0	NA	0
-0.23781311539750538	1	-0	YAF2	0	NA	0
-0.010893807888868956	1	-0	ZMYND11	0	NA	0
-0.12587356577320108	1	-0	WAS	0	NA	0
-1.3290168827522386	0.14816821319812912	0.8292449563656797	DPEP1	0	NA	0
-0.3214502242023909	1	-0	BID	0	NA	0
-0.04632843864525604	1	-0	MATR3	0	NA	0
0.5013985321918266	0.9943381094171758	0.002465915314814276	NPC1L1	0	NA	0
0.13506879503506264	1	-0	XYLT2	0	NA	0
-0.0619718225171213	0.9999999997950123	8.902502414825752e-11	RGPD5	0	NA	0
0.09618441395089139	1	-0	NUDCD3	0	NA	0
0.42462699688597993	0.9912365777514921	0.0038226803784284996	CHDH	0	NA	0
0.32235842483693045	0.9905055060692477	0.004143105941845106	CLCA4	0	NA	0
0.09507033897208395	1	-0	GLT8D1	0	NA	0
0.24461452672925432	1	-0	ATP2C1	0	NA	0
-0.004369443268599227	1	-0	IGF1	0	NA	0
0.05716826950465226	1	-0	SLC38A5	0	NA	0
0.3560616271195203	1	-0	RALBP1	0	NA	0
-0.3626136320321578	0.9999999999707854	1.2687752910373588e-11	RUFY3	0	NA	0
-0.591175902687783	0.929576278156968	0.03171496756667472	CNTN1	0	NA	0
-0.5596170560790713	0.9663997104307577	0.01484320885367902	SLC11A1	0	NA	0
0.23698719955175418	0.9999996605530516	1.4741996162639846e-7	WWTR1	0	NA	0
0.08212433459089663	1	-0	AGPS	0	NA	0
0.1606994524614791	1	-0	STEEP1	0	NA	0
-0.1050334681506877	0.9999984333995984	6.803664427047727e-7	ATP1A2	0	NA	0
0.05173882539179564	1	-0	TTC27	0	NA	0
0.8618120701599667	0.7347977125600226	0.13383220433153434	ZNF582	0	NA	0
0.041927092202467264	0.9999996567745459	1.4906094632691547e-7	VSIG2	0	NA	0
-0.5434643497206055	0.9960678614131979	0.0017110723862256798	PHLDB1	0	NA	0
-0.2443107498936783	0.9977032956964479	9.985931816823648e-4	MARCO	0	NA	0
-0.6117729825882983	0.9999004864403769	4.322034035949958e-5	PRDM11	0	NA	0
0.8140775658202442	0.7476264582108423	0.1263153375077019	SYT13	0	NA	0
0.4125127232338395	0.9891877075567278	0.004721289170275895	SNAI2	0	NA	0
-0.5259648142404547	0.9996886678533539	1.3523088528088673e-4	CD74	0	NA	0
-0.9610280497133594	0.561113183705305	0.2509495271561024	HGF	0	NA	0
0.02651717044074342	1	-0	ZRANB1	0	NA	0
0.0335745357062498	1	-0	NCDN	0	NA	0
-0.17725297068672852	0.9999560998587268	1.9066007613000342e-5	ADGRA2	0	NA	0
0.31150425699693685	1	-0	ZFP64	0	NA	0
-0.23010286899169463	1	-0	MNAT1	0	NA	0
-0.45294871621905575	0.9990336804892294	4.1987012831939025e-4	SAMD4A	0	NA	0
-0.09722913632251196	1	-0	RUNX3	0	NA	0
-0.1743494502458196	1	-0	MRE11	0	NA	0
-0.07340410137093367	0.9999999999339549	2.8683004382481485e-11	PLEKHB1	0	NA	0
0.20185908105451222	1	-0	SERPINB1	0	NA	0
-0.16457220925549154	0.999999989846502	4.40960819419122e-9	CYP3A43	0	NA	0
0.17679145463433166	1	-0	SPAST	0	NA	0
0.6110992502141057	0.9576390329121806	0.0187981606040531	NRXN3	0	NA	0
-0.2024822905563397	0.9999169036366359	3.608979156124962e-5	OSBPL5	0	NA	0
-0.14865190999192368	1	-0	AQR	0	NA	0
0.6340430680896768	0.9535795807040849	0.020643057186982765	CPS1	0	NA	0
0.8471487782687532	0.702537160853251	0.1533306987158778	FHL1	0	NA	0
0.03742179454052863	1	-0	RTF2	0	NA	0
0.845061233253686	0.7822806138560224	0.10663743212093874	GABRA1	0	NA	0
-0.6875577479714339	0.8293373273811843	0.08126878715494254	NLRP2	0	NA	0
-0.07496474599193759	1	-0	SLC45A4	0	NA	0
0.024118504299637245	1	-0	RNF10	0	NA	0
0.15367060739657745	1	-0	ZNF839	0	NA	0
-0.059869606098780004	1	-0	ZDHHC6	0	NA	0
-0.7642888440359215	0.812218576568925	0.09032708181333429	GRAMD1B	0	NA	0
-0.033380856312910545	1	-0	RNH1	0	NA	0
0.2831830988521551	1	-0	NDUFS1	0	NA	0
0.14507356763638324	1	-0	RB1CC1	0	NA	0
0.001830177841658731	1	-0	ERP44	0	NA	0
0.14387692581931866	1	-0	ALAS1	0	NA	0
-0.2906046483740754	0.9985981781188825	6.092306238269367e-4	BIRC3	0	NA	0
-0.801076002207787	0.9980513314132102	8.471216623140278e-4	AKAP11	0	NA	0
0.8163782082462261	0.9983563986044075	7.143942672174861e-4	GLRX2	0	NA	0
0.061918172414816786	1	-0	SNAPC1	0	NA	0
0.008633628618381017	1	-0	DERA	0	NA	0
0.11768223286975221	1	-0	STRAP	0	NA	0
0.351061522870562	0.9999999999999996	1.9286549331065747e-16	ABCC2	0	NA	0
0.34492853066388385	1	-0	DEF6	0	NA	0
0.6330912902350634	0.953939317692939	0.020479250903145355	PLEKHO1	0	NA	0
0.32748617851081985	0.9999999999999976	1.060760213208617e-15	GCLM	0	NA	0
-0.1748852850742404	1	-0	UBR2	0	NA	0
-0.14430461370168146	0.999914842750361	3.698489840073046e-5	EHD2	0	NA	0
0.6802339220725754	0.9803239840746706	0.008630372018926203	DEPDC1	0	NA	0
0.05145255073773303	1	-0	CCDC28A	0	NA	0
0.3221507064063669	0.9999999981955223	7.836746991498555e-10	RRAGD	0	NA	0
0.09387668557991313	1	-0	HSF2	0	NA	0
0.13231358584784836	1	-0	PHF20	0	NA	0
0.8887727237690081	0.8235135090785897	0.08432927218315729	HSD17B6	0	NA	0
-0.8167410691955377	0.9540819694979341	0.02041431148944569	NR1H3	0	NA	0
0.38546203898951514	0.9999936456652703	2.759661277203019e-6	TYMP	0	NA	0
-0.047853803612932566	1	-0	NCAPH2	0	NA	0
0.020100617511445762	1	-0	TOMM34	0	NA	0
0.1238885264117977	1	-0	SEC63	0	NA	0
0.28192694532092144	1	-0	KPNA6	0	NA	0
0.5278012189751315	0.9999245595605831	3.2764602454648086e-5	VIM	0	NA	0
