DEL_all_focal_FAM46C	DEL_all_focal_CDKN2C	DEL_all_focal_FAF1	DEL_all_focal_RB1	DEL_all_focal_TRAF3	DEL_all_focal_CYLD	DEL_all_focal_TP53
MM__CytoscanHD_31052018_1013_.CytoScanHD_Array.	0	0	0	0	1	0	0
MM__CytoscanHD_31052018_1014_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_31052018_1015_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM__CytoscanHD_31052018_1016_.CytoScanHD_Array.	1	0	0	1	1	0	0
MM__CytoscanHD_31052018_1017_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_011518_904_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_CytoscanHD_07052018_984_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_CytoscanHD_07052018_985_.CytoScanHD_Array.	0	1	1	0	1	0	0
MM_CytoscanHD_07052018_987_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_CytoscanHD_07052018_989_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_07052018_990_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_07052018_991_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_07052018_992_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_08282017_816_.CytoScanHD_Array.	0	0	0	1	0	1	0
MM_cytoscanHD_08282017_819_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_08282017_820_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM_cytoscanHD_08282017_821_.CytoScanHD_Array.	1	0	0	1	1	1	1
MM_cytoscanHD_08282017_822_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_08302017_824_.CytoScanHD_Array.	0	1	1	1	1	1	0
MM_cytoscanHD_08302017_825_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_08302017_826_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_08302017_827_.CytoScanHD_Array.	0	0	0	1	0	1	0
MM_cytoscanHD_08302017_828_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_08302017_829_.CytoScanHD_Array.	0	0	0	1	0	1	0
MM_cytoscanHD_09132017_837_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_09132017_838_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_09132017_839_.CytoScanHD_Array.	0	0	0	0	0	0	1
MM_cytoscanHD_09132017_840_.CytoScanHD_Array.	0	0	0	0	0	1	1
MM_cytoscanHD_09132017_841_.CytoScanHD_Array.	1	1	1	1	1	1	0
MM_cytoscanHD_09132017_842_.CytoScanHD_Array.	1	0	0	0	0	0	0
MM_cytoscanHD_09212017_849_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_09212017_850_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_10022017_852_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_10022017_855_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_10022017_856_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_10022017_857_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_10022017_858_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_10192017_859_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD_10192017_860_.CytoScanHD_Array.	0	0	0	0	1	0	0
MM_cytoscanHD_10192017_861_.CytoScanHD_Array.	0	0	0	1	0	0	1
MM_cytoscanHD_10192017_863_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD_10192017_864_.CytoScanHD_Array.	0	0	0	1	0	1	0
MM_cytoscanHD_10262017_866_.CytoScanHD_Array.	1	1	1	0	1	1	1
MM_cytoscanHD_10262017_867_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_10262017_868_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_10262017_869_.CytoScanHD_Array.	1	1	1	1	1	1	0
MM_cytoscanHD_10262017_870_.CytoScanHD_Array.	1	0	0	0	0	1	0
MM_cytoscanHD_10262017_871_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_10262017_872_.CytoScanHD_Array.	1	1	1	1	1	1	1
MM_cytoscanHD_11092017_876_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD_11092017_879_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_11162017_880_.CytoScanHD_Array.	0	1	1	1	0	1	0
MM_cytoscanHD_11162017_884_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD_11162017_886_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD_11302017_887_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD_11302017_891_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM_cytoscanHD_14092017_832_.CytoScanHD_Array.	0	0	0	1	1	0	1
MM_cytoscanHD_14092017_833_.CytoScanHD_Array.	1	0	0	0	0	0	0
MM_cytoscanHD_14092017_834_.CytoScanHD_Array.	0	1	1	1	0	1	0
MM_cytoscanHD_14092017_835_.CytoScanHD_Array.	1	1	1	1	1	0	0
MM_CytoscanHD_17042018_966_.CytoScanHD_Array.	0	0	0	1	0	1	1
MM_CytoscanHD_17042018_968_.CytoScanHD_Array.	1	0	0	0	0	0	1
MM_CytoscanHD_17042018_971_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_17042018_972_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_17042018_973_.CytoScanHD_Array.	0	0	0	0	0	0	1
MM_CytoscanHD_17042018_974_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_17042018_975_.CytoScanHD_Array.	1	0	0	1	1	0	1
MM_cytoscanHD_19092017_D8_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_CytoscanHD_26042018_976_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD14032018_939_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD14032018_940_.CytoScanHD_Array.	1	0	0	1	1	1	0
MM_cytoscanHD14032018_941_.CytoScanHD_Array.	1	1	1	1	0	1	0
MM_cytoscanHD14032018_942_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD14032018_943_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD14032018_944_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD14032018_946_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD14032018_947_.CytoScanHD_Array.	1	1	0	0	0	1	0
MM_cytoscanHD14032018_948_.CytoScanHD_Array.	1	0	0	1	0	0	0
MM_cytoscanHD22032018_945_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD22032018_949_.CytoScanHD_Array.	1	0	0	0	0	0	0
MM_cytoscanHD22032018_950_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD22032018_951_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD22032018_952_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM_cytoscanHD22032018_953_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD22032018_954_.CytoScanHD_Array.	0	0	0	1	0	0	1
MM_cytoscanHD22032018_955_.CytoScanHD_Array.	1	0	0	1	0	1	1
MM_cytoscanHD24012018_919_.CytoScanHD_Array.	0	0	0	0	1	0	0
MM_cytoscanHD24012018_921_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD24012018_922_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD24012018_923_.CytoScanHD_Array.	1	0	0	1	1	0	0
MM_cytoscanHD24012018_924_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM_cytoscanHD24012018_925_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM_cytoscanHD26012018_932_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM_cytoscanHD26012018_933_.CytoScanHD_Array.	0	0	0	1	1	1	0
MM_cytoscanHD26012018_934_.CytoScanHD_Array.	1	1	1	1	1	0	0
MM_cytoscanHD28022018_936_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD28022018_938_.CytoScanHD_Array.	1	0	0	1	0	1	0
MM_cytoscanHD3042018_956_.CytoScanHD_Array.	1	1	1	1	0	1	0
MM_cytoscanHD3042018_957_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD3042018_958_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM_cytoscanHD3042018_959_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM_cytoscanHD3042018_960_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD3042018_961_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM_cytoscanHD3042018_964_.CytoScanHD_Array.	0	0	0	1	0	1	1
X20090121_MM03_SNP6.0_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20090422_MM7_SNP6.0_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20090422_MM8_SNP6.0_.GenomeWideSNP_6.	1	1	1	0	0	0	0
X20090520_MM10_SNP6.0_.GenomeWideSNP_6.	1	0	0	0	1	0	0
X20090520_MM11_SNP6.0_.GenomeWideSNP_6.	1	0	0	1	1	0	1
X20090520_MM13_SNP6.0_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20090520_MM14_SNP6.0_.GenomeWideSNP_6.	0	0	0	1	1	1	0
X20090604_MM17_SNP6.0_.GenomeWideSNP_6.	1	0	0	1	1	0	0
X20090604_MM18_SNP6.0_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20090728_MART_MM_SNP20bis_.GenomeWideSNP_6.	0	0	0	0	0	1	0
X20090728_MART_MM_SNP23bis_.GenomeWideSNP_6.	0	0	0	1	1	1	0
X20090728_MART_MM_SNP24bis_.GenomeWideSNP_6.	0	0	0	1	1	1	0
X20090728_MART_MM_SNP26_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20090728_MART_MM_SNP27_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20090728_MART_MM_SNP28_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20090728_MART_MM_SNP30_.GenomeWideSNP_6.	0	0	0	0	1	0	0
X20090728_MART_MM_SNP31_.GenomeWideSNP_6.	1	0	0	0	0	0	0
X20090728_MART_MM_SNP32_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20090728_MART_MM_SNP33_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20100108_MART_MM_SNP42_.GenomeWideSNP_6.	0	0	0	1	0	0	1
X20100108_MART_MM_SNP44_.GenomeWideSNP_6.	0	1	1	1	1	0	1
X20100108_MART_MM_SNP45_.GenomeWideSNP_6.	1	0	0	1	1	1	0
X20100108_MART_MM_SNP47_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20100108_MART_MM_SNP51_.GenomeWideSNP_6.	1	0	0	1	0	0	0
X20100108_MART_MM_SNP52_.GenomeWideSNP_6.	0	0	0	0	1	0	0
X20100205_MART_MM_SNP34_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20100205_MART_MM_SNP35_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20100205_MART_MM_SNP37_.GenomeWideSNP_6.	1	1	1	1	0	0	0
X20100205_MART_MM_SNP39_.GenomeWideSNP_6._2	1	0	0	1	1	0	0
X20100205_MART_MM_SNP40_.GenomeWideSNP_6._2	0	0	0	1	1	1	0
X20100205_MART_MM_SNP41_.GenomeWideSNP_6._2	1	0	0	1	0	0	0
X20100210_MART_MM_SNP54_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20100210_MART_MM_SNP55_.GenomeWideSNP_6.	0	1	0	1	1	1	1
X20100210_MART_MM_SNP57_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20100210_MART_MM_SNP58_.GenomeWideSNP_6.	0	0	0	0	1	0	1
X20100331_MART_MM_SNP59_.GenomeWideSNP_6.	0	0	0	1	1	1	1
X20100331_MART_MM_SNP61_.GenomeWideSNP_6.	1	1	1	1	0	0	0
X20100331_MART_MM_SNP65_.GenomeWideSNP_6.	1	1	1	1	0	0	0
X20110404_MART_MM_SNP84_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110517_MART_MM_SNP94_.GenomeWideSNP_6.	0	0	0	1	0	0	1
X20110517_MART_MM_SNP95_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110714_MART_MM_SNP101_.GenomeWideSNP_6.	1	1	1	0	0	1	0
X20110714_MART_MM_SNP102_.GenomeWideSNP_6.	1	0	0	0	0	0	0
X20110714_MART_MM_SNP103_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110905_MART_MM_SNP108_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20110920_MART_MM_SNP119_.GenomeWideSNP_6.	0	0	0	0	1	1	0
X20110920_MART_MM_SNP122_.GenomeWideSNP_6.	0	0	0	1	0	1	0
X20110920_MART_MM_SNP123_.GenomeWideSNP_6.	1	0	0	1	0	0	0
X20110920_MART_MM_SNP124_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110920_MART_MM_SNP125_.GenomeWideSNP_6.	1	0	0	1	0	0	0
X20110920_MART_MM_SNP126_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110920_MART_MM_SNP127_.GenomeWideSNP_6.	0	0	0	1	0	1	0
X20110920_MART_MM_SNP128_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110920_MART_MM_SNP131_.GenomeWideSNP_6.	1	1	1	0	0	0	0
X20110920_MART_MM_SNP132_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20110920_MART_MM_SNP134_.GenomeWideSNP_6.	0	0	0	0	1	0	0
X20110920_MART_MM_SNP135_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20110920_MART_MM_SNP136_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20111212_MART_MM_SNP149_.GenomeWideSNP_6.	1	0	0	1	1	0	0
X20111212_MART_MM_SNP161_.GenomeWideSNP_6.	1	0	0	0	0	0	0
X20111212_MART_MM_SNP162_.GenomeWideSNP_6.	0	0	0	1	0	0	1
X20111212_MART_MM_SNP163_.GenomeWideSNP_6.	0	0	0	1	1	0	0
X20111212_MART_MM_SNP165_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20111212_MART_MM_SNP166_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120510_MART_MM_SNP167_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120510_MART_MM_SNP169_.GenomeWideSNP_6.	1	1	1	1	0	1	0
X20120510_MART_MM_SNP170_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120521_MART_MM_SNP174_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120521_MART_MM_SNP175_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120521_MART_MM_SNP176_.GenomeWideSNP_6.	0	0	0	0	1	0	0
X20120521_MART_MM_SNP177_.GenomeWideSNP_6.	0	0	0	1	1	0	0
X20120626_MART_MM_SNP193_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120626_MART_MM_SNP197_.GenomeWideSNP_6.	1	1	1	0	0	1	0
X20120727_MART_MM_SNP199_.GenomeWideSNP_6.	1	0	0	0	1	0	0
X20120727_MART_MM_SNP201_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20120727_MART_MM_SNP202_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120727_MART_MM_SNP203_.GenomeWideSNP_6.	0	0	0	1	0	1	0
X20120727_MART_MM_SNP204_.GenomeWideSNP_6.	0	0	0	1	1	0	1
X20120924_MART_MM_SNP206_.GenomeWideSNP_6.	0	0	0	1	1	0	0
X20120924_MART_MM_SNP209_.GenomeWideSNP_6.	1	0	0	1	0	1	0
X20120924_MART_MM_SNP211_.GenomeWideSNP_6.	0	0	0	0	1	1	0
X20120924_MART_MM_SNP212_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20120924_MART_MM_SNP213_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20120924_MART_MM_SNP214_.GenomeWideSNP_6.	0	0	0	1	1	0	0
X20121008_MART_MM_SNP215_.GenomeWideSNP_6.	0	0	0	0	1	0	0
X20121008_MART_MM_SNP216_.GenomeWideSNP_6.	0	0	0	0	0	1	0
X20121008_MART_MM_SNP217_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20121008_MART_MM_SNP218_.GenomeWideSNP_6.	1	0	0	1	1	1	1
X20121008_MART_MM_SNP219_.GenomeWideSNP_6.	0	0	0	1	1	0	1
X20121008_MART_MM_SNP220_.GenomeWideSNP_6.	0	1	1	1	1	0	0
X20121008_MART_MM_SNP221_.GenomeWideSNP_6.	1	0	0	0	1	0	0
X20121203_MART_MM_SNP222_.GenomeWideSNP_6.	1	0	0	1	0	0	0
X20121203_MART_MM_SNP223_.GenomeWideSNP_6.	1	1	1	1	1	0	0
X20121203_MART_MM_SNP224_.GenomeWideSNP_6.	1	1	1	1	0	0	0
X20121203_MART_MM_SNP225_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20121203_MART_MM_SNP226_.GenomeWideSNP_6.	0	0	0	0	1	0	0
X20121203_MART_MM_SNP227_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20121203_MART_MM_SNP228_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20121203_MART_MM_SNP229_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20121203_MART_MM_SNP230_.GenomeWideSNP_6.	0	0	0	1	1	0	0
X20121203_MART_MM_SNP231_.GenomeWideSNP_6.	1	1	1	0	0	0	0
X20121203_MART_MM_SNP232_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20121203_MART_MM_SNP234_.GenomeWideSNP_6.	1	1	1	1	1	1	1
X20121203_MART_MM_SNP235_.GenomeWideSNP_6.	1	0	0	1	1	0	1
X20121203_MART_MM_SNP236_.GenomeWideSNP_6.	0	0	0	1	1	0	0
X20121203_MART_MM_SNP237_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20121203_MART_MM_SNP238_.GenomeWideSNP_6.	0	0	0	1	1	1	1
X20121203_MART_MM_SNP239_.GenomeWideSNP_6.	0	0	0	1	0	0	1
X20121203_MART_MM_SNP240_.GenomeWideSNP_6.	1	0	0	1	0	1	1
X20121203_MART_MM_SNP242_.GenomeWideSNP_6.	0	0	0	1	1	1	0
X20121203_MART_MM_SNP243_.GenomeWideSNP_6.	1	1	1	1	1	1	0
X20121203_MART_MM_SNP244_.GenomeWideSNP_6.	1	1	1	1	1	0	0
X20121203_MART_MM_SNP245_.GenomeWideSNP_6.	0	0	0	1	0	1	0
X20121203_MART_MM_SNP246_.GenomeWideSNP_6.	0	0	0	0	0	1	0
X20121203_MART_MM_SNP248_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20121203_MART_MM_SNP249_.GenomeWideSNP_6.	1	0	0	1	1	1	0
X20130516_MART_MM_SNP268_.GenomeWideSNP_6.	0	0	0	0	0	1	0
X20130527_MART_MM_SNP272_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20130527_MART_MM_SNP273_.GenomeWideSNP_6.	1	1	1	1	0	0	0
X20130527_MART_MM_SNP275_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20130527_MART_MM_SNP276_.GenomeWideSNP_6.	1	0	0	1	1	0	0
X20130527_MART_MM_SNP277_.GenomeWideSNP_6.	1	1	1	0	0	0	0
X20130527_MART_MM_SNP278_.GenomeWideSNP_6.	0	0	0	1	0	1	0
X20130625_MART_MM_SNP281_.GenomeWideSNP_6.	1	1	1	1	1	1	1
X20130625_MART_MM_SNP282_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20130625_MART_MM_SNP283_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20130625_MART_MM_SNP284_.GenomeWideSNP_6.	0	0	0	1	0	1	0
X20130625_MART_MM_SNP285_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20130625_MART_MM_SNP286_.GenomeWideSNP_6.	1	1	1	1	0	1	1
X20130711_Cytoscan_MM293_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20130711_Cytoscan_MM295_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20130711_Cytoscan_MM296_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20130717_MART_AL_SNP289_.GenomeWideSNP_6.	0	0	0	1	0	0	0
X20130717_MART_AL_SNP290_.GenomeWideSNP_6.	0	0	0	0	0	0	0
X20130725_Cytoscan_MM300_.CytoScanHD_Array.	0	0	0	0	1	0	0
X20130725_Cytoscan_MM302_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20130725_Cytoscan_MM303_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20130731_Cytoscan_MM305_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20130731_Cytoscan_MM306_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20130731_Cytoscan_MM307_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20130731_Cytoscan_MM308_.CytoScanHD_Array.	1	0	0	1	1	0	1
X20130731_Cytoscan_MM309_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20130731_Cytoscan_MM311_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20130731_Cytoscan_MM312_.CytoScanHD_Array.	0	0	0	1	1	1	1
X20130731_Cytoscan_MM313_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20130731_Cytoscan_MM315_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20131001_Cytoscan_MM316_.CytoScanHD_Array.	0	0	0	0	0	1	0
X20131001_Cytoscan_MM317_.CytoScanHD_Array.	0	0	0	0	1	1	1
X20131001_Cytoscan_MM318_.CytoScanHD_Array.	0	0	0	1	0	0	1
X20131001_Cytoscan_MM319_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131001_Cytoscan_MM320_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20131001_Cytoscan_MM321_.CytoScanHD_Array.	1	0	0	1	0	0	0
X20131001_Cytoscan_MM322_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20131001_Cytoscan_MM323_.CytoScanHD_Array.	1	1	1	0	0	0	0
X20131104_Cytoscan_MM324_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20131104_Cytoscan_MM325_.CytoScanHD_Array.	1	0	0	0	0	0	1
X20131104_Cytoscan_MM326_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131104_Cytoscan_MM327_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131104_Cytoscan_MM328_.CytoScanHD_Array.	1	1	1	0	0	1	0
X20131104_Cytoscan_MM329_.CytoScanHD_Array.	1	0	0	1	0	0	1
X20131104_Cytoscan_MM330_.CytoScanHD_Array.	0	1	1	1	0	1	0
X20131104_Cytoscan_MM331_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131105_Cytoscan_MM339_.CytoScanHD_Array.	0	0	0	1	1	0	0
X20131105_Cytoscan_MM340_.CytoScanHD_Array.	0	0	0	1	0	1	0
X20131105_Cytoscan_MM341_.CytoScanHD_Array.	0	0	0	1	0	0	0
X20131105_Cytoscan_MM342_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131105_Cytoscan_MM343_.CytoScanHD_Array.	1	1	1	1	0	1	0
X20131105_Cytoscan_MM344_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131125_Cytoscan_MM_346_.CytoScanHD_Array.	0	0	0	1	1	1	0
X20131125_Cytoscan_MM_347_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131125_Cytoscan_MM_349_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131125_Cytoscan_MM_350_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20131125_Cytoscan_MM_351_.CytoScanHD_Array.	1	0	0	0	0	0	0
X20131125_Cytoscan_MM_352_.CytoScanHD_Array.	1	1	1	1	0	0	0
X20131125_Cytoscan_MM_353_.CytoScanHD_Array.	0	0	0	0	0	0	0
X20131126_Cytoscan_MM_355_.CytoScanHD_Array.	0	0	0	0	1	0	0
X20131126_Cytoscan_MM_356_.CytoScanHD_Array.	0	0	0	0	0	0	0
