genes.hgnc_symbol	genes.ensembl_gene_id	genes.length	logFC	AveExpr	t	P.Value	adj.P.Val
LY86	ENSG00000112799	66875	-2.2853510041038625	2.192730026886176	-5.190503317832216	1.675564319454811e-7	7.856721093923608e-5
RHBG	ENSG00000132677	16008	2.457396452832834	-5.256080763279117	5.184413157465254	1.7276584950983012e-7	7.903405544893595e-5
TRAT1	ENSG00000163519	32235	-3.5216139392130557	1.5366947013806247	-5.134994123497993	2.2125211024219198e-7	9.880487094529887e-5
INSRR	ENSG00000027644	19054	2.3190578041324033	-5.177086354997969	5.0983180573990765	2.6550673642807665e-7	1.1581033368476758e-4
LILRB4	ENSG00000186818	26470	3.136332186973532	2.5499025244236315	5.05109061433771	3.35247546628071e-7	1.4173003352906273e-4
ISL2	ENSG00000159556	5702	-2.3964776022197913	2.7529350574773663	-5.045260578118056	3.4499776944923217e-7	1.4173003352906273e-4
	ENSG00000260990	28241	-2.60629066384778	-3.2574842537474176	-5.043731671755598	3.475997836605292e-7	1.4173003352906273e-4
SPINK5	ENSG00000133710	111699	2.625802908748041	-0.3152732064219582	4.965931030373624	5.082398353117177e-7	2.0282013512992717e-4
CCL25	ENSG00000131142	10342	-2.5969562541156397	-3.5596472065225333	-4.906376358726961	6.775633247677253e-7	2.6475786915298863e-4
PTGS1	ENSG00000095303	25173	-2.18176657779811	1.6236943481579849	-4.880388729997214	7.674641473987574e-7	2.9376648058389987e-4
MTMR11	ENSG00000014914	8228	1.8410751251920572	-0.3062224021406251	4.850763476991206	8.840027019408055e-7	3.2656070804552856e-4
APOL3	ENSG00000128284	25847	-2.35580238637467	3.6945888768742527	-4.84982481664721	8.87960978370759e-7	3.2656070804552856e-4
	ENSG00000271959	3409	2.809864751586696	-3.2405751223726096	4.834609828530814	9.545566106225854e-7	3.443012267084079e-4
TCEA3	ENSG00000204219	43839	2.8467615123195436	-1.7774029335567145	4.826946587234816	9.898972180974714e-7	3.5031155137049387e-4
LMOD1	ENSG00000163431	50132	1.759810286274258	-2.5891791619814652	4.812842765202544	1.0582647862624155e-6	3.675706357618123e-4
PDLIM2	ENSG00000120913	19746	-1.9779180113395505	1.6461379549666924	-4.805393917618662	1.096187210340064e-6	3.7381976940251344e-4
MORC1	ENSG00000114487	159886	-3.0472105679075954	1.1344817268741516	-4.788258201462879	1.1884637094425102e-6	3.980504523982808e-4
TENM1	ENSG00000009694	587914	2.778851626929678	-1.2294463817255075	4.783203053285928	1.2170863605315244e-6	4.004854697917416e-4
	ENSG00000229191	4843	2.392649679093785	-3.5322552128954845	4.7475221183830065	1.4388589819790238e-6	4.652972252758374e-4
LINC02830	ENSG00000224899	2285	2.642683089116504	-3.9246668831256093	4.7433452682771975	1.4672328518882917e-6	0.00046643083677994573
PITPNC1	ENSG00000154217	319975	1.9968873277044623	1.3302506892961101	4.697128182575981	1.8194118695982093e-6	5.687481504364002e-4
NOS1AP	ENSG00000198929	300784	2.3567148176323602	-1.7065210778150646	4.68168076601112	1.9543034900674952e-6	6.009002665525564e-4
KRT14	ENSG00000186847	4616	2.8255386977954227	-3.8857185274617025	4.659712464797888	2.1628194131006257e-6	6.542877566470215e-4
PLAAT2	ENSG00000133328	10609	2.399536125786809	-0.14922839109091432	4.639845879862909	2.369681075223397e-6	7.054879086807942e-4
RPL36AP40	ENSG00000240298	320	-2.860057166423373	-2.835685617237295	-4.6141114255955955	2.666057587493611e-6	7.813215017348465e-4
NEFLP1	ENSG00000232634	983	-3.4720759013655673	-4.495885938860138	-4.543756477156765	3.6693874456887916e-6	0.001058815860482138
FLT3	ENSG00000122025	97318	-2.8199663833624076	0.15045633234313927	-4.537471246889614	3.774864053928681e-6	0.0010727477302346416
MYB	ENSG00000118513	37865	2.2019064574562046	-0.09712020317426345	4.520171356240975	4.080426882725981e-6	0.0011422759195881865
SDK1	ENSG00000146555	967748	2.670522338855217	-4.674587600106424	4.492056841961565	4.628232143912595e-6	0.0012765753248709505
C1orf21	ENSG00000116667	241990	2.481192665696192	2.0923295758587463	4.488181420599436	4.709062897070951e-6	0.0012800461405429386
	ENSG00000244998	2635	2.3963700918901067	-4.634071134956947	4.469932395940927	5.108232746910737e-6	0.0013687144771579683
TMEM98	ENSG00000006042	17196	2.577018169422514	-1.9228444146308188	4.465416775690163	5.211900633064522e-6	0.0013700502233901675
GABRG1	ENSG00000163285	88285	2.7658592890736124	-4.016750547155045	4.461776172734045	5.296945577225939e-6	0.0013700502233901675
MYO1B	ENSG00000128641	180204	2.5964330846703225	1.2478203174970577	4.460276824762373	5.3323558491939775e-6	0.0013700502233901675
CLSTN2	ENSG00000158258	642212	3.07704631303442	-0.9145660568547852	4.450900792750901	5.55899008915624e-6	0.001408978623138033
SLC34A2	ENSG00000157765	30737	-2.009330759683168	-3.3080103320779073	-4.426118778780963	6.203320047195065e-6	0.001551326277402542
CASP4LP	ENSG00000235505	17524	-2.8530010450599486	1.0612087793055216	-4.367717554162706	8.01673778481242e-6	0.001978446498578181
	ENSG00000270036	723	-2.2634239750632297	-4.03350185289874	-4.361956652282865	8.220871659255093e-6	0.0020024762187141366
JUP	ENSG00000173801	32327	2.2088610777865627	1.6172454214119454	4.356975681649547	8.401369139805174e-6	0.002020206148540844
ANO9	ENSG00000185101	24078	-2.368528810128499	3.3538642610375873	-4.330521553321386	9.425315691771581e-6	0.0022377369761375668
KIF21B	ENSG00000116852	54324	2.0605014930572056	3.66548911454598	4.297872548480708	1.0854049776455376e-5	0.002544731970089963
	ENSG00000250493	26864	-2.3151034140461064	-2.0926171558254505	-4.288714085177958	1.129060902160189e-5	0.002614403244557593
	ENSG00000206549	100459	2.13075234316515	-1.9596448081897415	4.247410634482739	1.3476488984572515e-5	0.003082500334081001
TSKU	ENSG00000182704	15902	-2.122605435559925	-0.05042991051586526	-4.23704216075366	1.4085572891811398e-5	0.0031830000621543924
CST6	ENSG00000175315	1497	3.216314515787277	-2.0159131952366036	4.213659988393245	1.555699276180715e-5	0.0034736542409577963
TSACC	ENSG00000163467	9681	1.5986472997392056	-2.0153137850804175	4.158257527064141	1.9650881101251208e-5	0.004336140305118443
BCHE	ENSG00000114200	64558	2.996420310503609	-2.1284302503323485	4.13820736019583	2.137104881612386e-5	0.004660876646456036
SCN9A	ENSG00000169432	180816	2.1023708311674296	2.705693198387718	4.12876420044824	2.223000917997864e-5	0.00475983637030544
SLC8A3	ENSG00000100678	144855	-2.552141964049274	-0.11653868932619389	-4.127662321264407	2.2332352345216398e-5	0.00475983637030544
C1orf226	ENSG00000239887	7971	2.312973146446376	-0.40292309654914027	4.117171280808473	2.3329493652131427e-5	0.0049164941903300785
MGAT4C	ENSG00000182050	883238	-3.319680769171452	-0.17503682331263506	-4.112991017875316	2.3738503484426106e-5	0.0049471041261544
	ENSG00000259420	39918	-2.2311435765057173	-5.07358186131878	-4.106931714557565	2.4343497750679016e-5	0.004983813441860257
CALHM3	ENSG00000183128	6436	2.3238935087467616	-4.551492862605974	4.103746156774017	2.4667417611168244e-5	0.004983813441860257
RAPH1	ENSG00000173166	140990	1.9524001670590612	1.716365363574552	4.103312719339828	2.471180689342098e-5	0.004983813441860257
INAVA	ENSG00000163362	24694	2.3235383388199984	0.3216536149394957	4.0637378012840735	2.910111567441684e-5	0.005806601336057046
CNTN5	ENSG00000149972	1337936	-2.1699075163189923	4.254426324155184	-4.045385510913796	3.137937887491132e-5	0.006162366947842661
GTF2F2	ENSG00000188342	164383	-1.385380273267725	4.1067774367289	-4.044130417865808	3.154122558076858e-5	0.006162366947842661
SYCP2L	ENSG00000153157	92489	-1.9405407443560856	-2.8592055113534167	-4.024835985414622	3.4131314125111043e-5	0.006599659048768894
TMPRSS11A	ENSG00000187054	54745	2.4092358543182404	-4.536786465421374	4.014281056574985	3.5632427794231666e-5	0.006819610364373563
MYBPC2	ENSG00000086967	33429	2.834786809046414	-3.6044463260540898	4.010591915197187	3.617172291610518e-5	0.0068528973233784735
ADAMTS20	ENSG00000173157	198337	2.402278251661854	-4.572850938722783	3.9845356876749807	4.0207337624280086e-5	0.007538422045648794
NXF5	ENSG00000126952	25465	1.8958432885058742	-2.8783599859542295	3.9802241813007715	4.091499472382012e-5	0.007538422045648794
SOCS3	ENSG00000184557	3299	2.4839478849920473	3.9594482713415218	3.97973578520452	4.099589724121225e-5	0.007538422045648794
GAS6-AS1	ENSG00000233695	30114	-1.882283802803964	-1.5847865150931904	-3.9765911647302756	4.152044744861502e-5	0.007550088852191284
ZYG11A	ENSG00000203995	52487	2.3574497638230363	-0.8797167642502397	3.974549426514232	4.186442954936519e-5	0.007550088852191284
LEFTY2	ENSG00000143768	4785	2.1973791383481918	-1.860238566169204	3.969987500969747	4.264279377785956e-5	0.007617221334262228
LYSMD2	ENSG00000140280	28574	-2.5148562282822287	0.9078495224760136	-3.9656115874553723	4.340230328091914e-5	0.007679750946574712
TBX21	ENSG00000073861	12886	-2.57550671757192	-0.2991538631100422	-3.9602328205839625	4.435345564391256e-5	0.0077747048042731215
THBS3-AS1	ENSG00000231064	10498	1.4433213654983528	-1.2194575810539081	3.9452492172107765	4.710839169296065e-5	0.008181157357344166
NEK2	ENSG00000117650	16973	1.8324140405106628	0.024088549046868045	3.9412958506921028	4.7861873427883494e-5	0.008235755027645715
FAM171B	ENSG00000144369	71899	1.9387695969516212	1.358854583612238	3.938817263056109	4.834008413802283e-5	0.008242423800843238
TNFSF10	ENSG00000121858	17967	-1.7964203008554644	5.051391255804657	-3.9244675376774616	5.119889736160793e-5	0.008651229900128994
LINC01852	ENSG00000236914	4178	2.1429839227769976	-4.152476502136821	3.88392898460781	6.016557776215073e-5	0.010075585504525884
GLDC	ENSG00000178445	113262	2.369610275183429	0.8444181285081429	3.8638623192339936	6.513572271141001e-5	0.010811377125444301
CASP4	ENSG00000196954	26500	-1.3832402500886127	5.8060910909173025	-3.8595465478942286	6.625425150693799e-5	0.010900567905825692
	ENSG00000225370	1360	2.1587271717966168	-5.5023551329023865	3.8545028530353704	6.758445736334228e-5	0.010974507242741682
LIFR	ENSG00000113594	133686	2.672205533632849	-0.7790583701844841	3.853417834360011	6.787389849424372e-5	0.010974507242741682
NME5	ENSG00000112981	24268	2.0379345770703443	-4.021387003567333	3.82884883446421	7.475040326876064e-5	0.0119830646470844
RND3	ENSG00000115963	70816	2.4287093702122755	2.2884405626757154	3.806508932139471	8.156987633570793e-5	0.012965462716546932
KCNA5	ENSG00000130037	2909	-3.380781323820597	-1.95170301067739	-3.802403796501236	8.288526818892471e-5	0.013063832690348503
CCR5	ENSG00000160791	5260	-2.8576978110780873	0.4575879082250711	-3.796649498202419	8.476283272693866e-5	0.013248430755220513
	ENSG00000236924	48894	2.3277966105210073	-3.180155396237195	3.768531411471329	9.452937474175778e-5	0.014652834319474454
SIDT1	ENSG00000072858	97020	-1.4718717205166052	4.696420886834145	-3.7625880837104626	9.67253696635302e-5	0.014870336339419445
CASP12	ENSG00000204403	12952	-2.161321445929132	-3.7349740525846737	-3.75788932081602	9.849547950211035e-5	0.015019359459687657
	ENSG00000273149	1144	-2.097062524132997	-2.7830697886025053	-3.7508673367130525	1.0119782576129956e-4	0.015306987257894634
TPT1	ENSG00000133112	7813	-1.3658871030091486	11.23301702779631	-3.743858684111572	1.0396464604653361e-4	0.015589601372420924
TENM4	ENSG00000149256	788201	-2.2242996392901695	0.9683759282348862	-3.741954467804474	1.0472860806808681e-4	0.015589601372420924
KIAA0895	ENSG00000164542	65973	1.6387714927668406	1.157012738639629	3.7351899921553975	1.0748549108918034e-4	0.0158122152536403
	ENSG00000232855	346110	-2.2873689455276978	-0.41681924747816096	-3.731342066038787	1.0908410105907132e-4	0.0158122152536403
CLDN14	ENSG00000159261	115948	2.374503454309697	-1.0218394147075824	3.7311250925251	1.0917490615791704e-4	0.0158122152536403
C6orf132	ENSG00000188112	41501	1.7107772323473693	-2.786413384353231	3.7301204450043564	1.0959628827965659e-4	0.0158122152536403
SIX4	ENSG00000100625	14812	-2.520897285538344	0.07464048267765783	-3.7041841038919276	1.2102039890256785e-4	0.017327164899363073
C11orf96	ENSG00000187479	18536	-2.491385183520551	2.66801478746782	-3.6915130014167308	1.270008712581586e-4	0.018045669252409264
PTPRR	ENSG00000153233	282665	2.122348309018259	-3.832108423761762	3.683419951918316	1.309650320113468e-4	0.018469023612066322
	ENSG00000272668	12815	2.266393431250862	-4.229755960327915	3.6814219467464775	1.3196146995787054e-4	0.018470666645744923
MUC15	ENSG00000169550	13231	2.267370924381928	-5.78379548064626	3.6792926321479054	1.330312447125771e-4	0.01848247426540071
KCNK10	ENSG00000100433	146804	-2.479804344575725	-5.160192394048849	-3.661640725322144	1.4221916112412976e-4	0.019455251089941356
	ENSG00000253619	206689	-2.263108946052993	-5.095910252328862	-3.6614539826524344	1.423194779909584e-4	0.019455251089941356
GRIK4	ENSG00000149403	477160	-2.0200922636451035	3.7204127219249807	-3.659922227125688	1.4314484167263314e-4	0.019455251089941356
LINC01088	ENSG00000249307	370188	2.374773761858388	-1.3284385020161276	3.6534858032111917	1.4666245983333584e-4	0.019789935947007533
SPATC1	ENSG00000186583	34834	-2.1495374681004003	-1.728576538852409	-3.6255653349220482	1.6288367048778945e-4	0.021679695639239393
ARHGAP28	ENSG00000088756	186000	2.0914782589670504	-2.736783125882857	3.624306926893626	1.6365306840305678e-4	0.021679695639239393
TRIM31	ENSG00000204616	10193	1.895009408666045	-3.8361536999523387	3.6235214569075014	1.6413503842887574e-4	0.021679695639239393
STARD13	ENSG00000133121	247493	-1.653319079244128	1.4364859971984645	-3.6186929092694493	1.6712728593080216e-4	0.02192055506935752
PLCXD3	ENSG00000182836	203676	2.406177239587637	-3.8880392563568464	3.609979961096907	1.7265673699146287e-4	0.02238754784954888
FLNA	ENSG00000196924	26110	1.759950782168234	5.803211685865761	3.6084848262949354	1.7362268442714513e-4	0.02238754784954888
UBE2T	ENSG00000077152	10323	1.5704922074875491	1.251407888267331	3.6074893915183464	1.742686066343643e-4	0.02238754784954888
HRNR	ENSG00000197915	12117	1.9807363912712317	-4.995568252018267	3.5999472104518238	1.7923642311115775e-4	0.022811891074515003
PTPRN2	ENSG00000155093	1048767	-2.4788544544283093	0.18913359728200094	-3.598799023294107	1.800042588520058e-4	0.022811891074515003
SYNC	ENSG00000162520	23690	2.56175592915237	-2.517514866106081	3.592131636174433	1.8452435808621724e-4	0.02322777758567175
PKIA	ENSG00000171033	88927	1.6443659290673558	0.9553814505511029	3.579454792087112	1.9341376938782648e-4	0.024184457724253823
MX2	ENSG00000183486	47394	-1.9269340077651695	3.9075946025836923	-3.5772607051139547	1.9499253648062873e-4	0.02422039744523624
DAB2IP	ENSG00000136848	218473	-2.033864045532944	3.2273422586534286	-3.552617754644744	2.1357468915336408e-4	0.026353992564213793
P2RY6	ENSG00000171631	40605	-2.634259192058331	1.408404311534089	-3.5475041985564055	2.1763298942227758e-4	0.026617934155810055
ADGRL3	ENSG00000150471	878009	2.484449025437618	-3.510929741369847	3.5463586029904435	2.1855202921703713e-4	0.026617934155810055
GAREM1	ENSG00000141441	346005	2.0119063555697863	0.644951802254772	3.536799379728039	2.2636381072879574e-4	0.027391481509866405
SHISA2	ENSG00000180730	7419	-3.0079170723709057	-0.19353324029832367	-3.533107855172448	2.2944993610547556e-4	0.027586942317912175
VEGFC	ENSG00000150630	109384	-2.460807331892877	-0.5638204053693227	-3.531033166446483	2.3120162891892754e-4	0.02762049523569048
DCC	ENSG00000187323	1195706	2.4695731902872864	0.23886461930575636	3.5280627224352092	2.3373144116429164e-4	0.027745993104287683
KRT17	ENSG00000128422	5400	2.4286781304127616	-4.821556614863466	3.5154026314411686	2.448070227303372e-4	0.028854848784567094
PTP4A3	ENSG00000184489	40459	2.457242234523461	5.70545711726605	3.513904950633341	2.4614927519357727e-4	0.028854848784567094
CATSPER1	ENSG00000175294	9727	2.0335212257879847	-4.369675313198111	3.5041353005956233	2.5507548339164486e-4	0.02971550165524032
GABRG2	ENSG00000113327	162920	2.460352094575212	-2.239737955824517	3.500050409861084	2.5889676735190304e-4	0.02997449239785366
WSCD1	ENSG00000179314	66620	2.7898019370647833	-0.4083572769344307	3.492229493266382	2.6636286129194236e-4	0.030571531594382452
MESP2	ENSG00000188095	18163	1.9377584524892955	-3.5358165800455783	3.491248477716634	2.673134560395992e-4	0.030571531594382452
BCL6B	ENSG00000161940	7240	2.078628737140888	-2.824139041275491	3.488585839788873	2.699095454722597e-4	0.030573003526653347
POT1-AS1	ENSG00000224897	553093	1.770391159145521	-1.0750248737956059	3.4878955677785703	2.7058640357349414e-4	0.030573003526653347
LRP2	ENSG00000081479	235425	2.0456285495170987	-3.8586615800568835	3.4801634474422993	2.7827752581024176e-4	0.03125373218022092
EDNRB	ENSG00000136160	80048	-2.888202854623139	4.65271857312453	-3.47647037489645	2.820227065541018e-4	0.031485820738861504
KLHL13	ENSG00000003096	219527	1.9868176836744396	-5.043947101078702	3.4645100427403643	2.9447769607614927e-4	0.032646042138060445
NLGN4Y	ENSG00000165246	323081	-3.006254480236877	-3.4639932646919167	-3.463178105630675	2.958960953012516e-4	0.032646042138060445
CA8	ENSG00000178538	95988	2.293152950380269	-1.3515285746760144	3.4464011883900785	3.1431719410530734e-4	0.0344756332902874
CHRM3	ENSG00000133019	528887	2.3409159116155585	-2.1714825304001018	3.4148511430128163	3.5189283224046326e-4	0.0383726858226868
GIMAP8	ENSG00000171115	28763	-1.86030501467168	1.0558638284327206	-3.4072856601221733	3.6150598998818814e-4	0.0391931002787194
RAB29	ENSG00000117280	7496	1.5411633707821695	3.636895568360529	3.403552807336153	3.6633888535441664e-4	0.0394888053661347
IL36G	ENSG00000136688	12455	1.96779876075388	-3.8613015501901966	3.3973455512357456	0.00037450896004755405	0.040138800312296705
MTMR9LP	ENSG00000220785	10054	-1.945526213833423	1.0800022931313138	-3.3810156112244054	3.9682098314311926e-4	0.04228849068086559
EGR3	ENSG00000179388	5821	-2.1339052991149616	1.1514419697849174	-3.370421953902447	4.1195112407675145e-4	0.04365285470725169
LGALS9	ENSG00000168961	19762	-1.8014488369733281	2.8306685227600963	-3.3682330043645745	4.151436720838768e-4	0.043744015244973
NEBL	ENSG00000078114	513038	-2.615189089319061	-0.5053311541512221	-3.360470101405589	4.266524122352577e-4	0.044705545496561416
GRAPL	ENSG00000189152	31652	-1.92835836378207	-0.9647967742973492	-3.356012279010226	4.3339481313830195e-4	0.04515973952901106
LNCOC1	ENSG00000253741	25190	1.7640984611491248	-1.7820104270168284	3.349584784799081	4.4329104668505156e-4	0.04593572857251285
MAGEA3	ENSG00000221867	3580	2.5583991165129025	-1.2360027320808016	3.3401747071465553	4.5815927240087326e-4	0.0472155786436856
PDE2A-AS2	ENSG00000256633	3407	-2.0874032111844154	-4.634314910396315	-3.3371353781886235	4.6305975841099605e-4	0.0474186755944433
E2F2	ENSG00000007968	24795	1.6000294781024764	3.078098348130245	3.335825706449538	0.00046518641018221195	0.0474186755944433
CYSLTR2	ENSG00000152207	57515	-2.3804930584184683	-3.4118053536456006	-3.327669650393689	4.7863600113234975e-4	0.04852592884993704
SPRED1	ENSG00000166068	104413	1.7543112328322135	2.018933124100433	3.317752245065382	4.954770424986445e-4	0.049963265640347185
