genes.hgnc_symbol	genes.ensembl_gene_id	genes.length	logFC	AveExpr	t	P.Value	adj.P.Val
FLT3	ENSG00000122025	97318	-2.404517273675224	0.41802208376832223	-4.892187023607337	6.271621415653227e-7	1.43612921658211e-4
TNFRSF4	ENSG00000186827	2813	-2.39919979680894	0.08988284561931613	-4.887164091328495	6.427954344108688e-7	1.453021585916743e-4
VEGFC	ENSG00000150630	109384	-2.5028160454270387	-0.5612845077304771	-4.885163465305087	6.491261979047793e-7	1.453021585916743e-4
ANKRD45	ENSG00000183831	61515	2.3665306533529633	-2.219971544639689	4.8780436230384545	6.721473917898647e-7	1.4878355932486316e-4
IDO2	ENSG00000188676	81783	-2.1755299347007093	-4.437505906864835	-4.872858772444863	6.894051729892523e-7	1.503057551635816e-4
RBFOX1	ENSG00000078328	2473538	2.008850677976934	-6.14796624322469	4.869387227030955	7.011980957359316e-7	1.503057551635816e-4
ABI3BP	ENSG00000154175	244359	-2.241150404754073	0.9656822649524656	-4.869252918807504	7.016582286022029e-7	1.503057551635816e-4
BCAN	ENSG00000132692	18142	1.8029857737281105	-2.0634651292927977	4.840010677253196	8.090833900647458e-7	1.7147403507308367e-4
CYSLTR2	ENSG00000152207	57515	-2.4156846761506294	-3.6032144734003726	-4.820389931227793	8.898668281330292e-7	1.8651688751256115e-4
TMPRSS11A	ENSG00000187054	54745	2.2466262077065418	-4.72678106467073	4.818329758773136	8.987863267345582e-7	1.8651688751256115e-4
C6orf132	ENSG00000188112	41501	1.8607747102114405	-3.2460639228311794	4.791656521666067	1.0223323856355593e-6	2.099681008931094e-4
SPTB	ENSG00000070182	133624	2.2723441783762435	-0.16445066783913453	4.762951491270371	1.1735187049989165e-6	2.3855958817335115e-4
VSIG1	ENSG00000101842	34214	2.080331748405542	-2.7485146326935506	4.7591125012486355	1.1953008738814152e-6	2.4053317181278337e-4
ASTN1	ENSG00000152092	307671	2.6908830150687777	-4.167758158521686	4.743086885420718	1.2905044724299375e-6	2.5557948095633165e-4
	ENSG00000267127	62742	1.7295814740750206	-3.2039894192279625	4.742240593718594	1.2957297247560233e-6	2.5557948095633165e-4
GABRG2	ENSG00000113327	162920	2.5732621662582904	-2.6904136931702207	4.731859589403657	1.361504259717375e-6	2.65920469236172e-4
	ENSG00000272668	12815	2.3481963543630213	-2.967521190325542	4.72391389636421	1.4140063564755886e-6	2.7349354013307453e-4
KRT17	ENSG00000128422	5400	2.4780048856160177	-4.9693486899585775	4.720227601495123	1.4390200917553226e-6	2.7565536796105326e-4
RAB26	ENSG00000167964	13362	-1.8139294271151196	2.070203931284746	-4.716395424831178	1.4654746369178615e-6	2.776418293891422e-4
LGALS14	ENSG00000006659	4963	2.4128626075275768	-3.490751700824028	4.714709153434844	1.4772630215464847e-6	2.776418293891422e-4
MTMR9LP	ENSG00000220785	10054	-2.0419031359304465	1.3485591377497332	-4.712028200151065	1.496192969057084e-6	2.785715544818246e-4
THBS3-AS1	ENSG00000231064	10498	1.4397425521810983	-1.2226398655330382	4.7000382276506745	1.5837448712896332e-6	2.9214227153548215e-4
TRABD2A	ENSG00000186854	85358	-2.1526603978217254	2.021141070166856	-4.689676261926179	1.663358080022175e-6	3.04013024497264e-4
RCBTB2	ENSG00000136161	44293	-1.601244014512099	4.498668587896585	-4.680908198902336	1.7337168986925732e-6	3.1399189141594037e-4
LPAR6	ENSG00000139679	55137	-2.6547777703320934	1.1466468531515939	-4.669145913433103	1.8326071290347796e-6	3.289117047264043e-4
LINC01136	ENSG00000233791	6557	1.594785455147837	-1.1796926061978765	4.663582117830876	1.881251299216218e-6	3.3462757484808476e-4
SHANK2	ENSG00000162105	784723	2.3272244665008737	-1.3498177185617322	4.659186934944753	1.9205530040141227e-6	3.385951942121182e-4
	ENSG00000174171	6751	-2.0202668370970733	0.760824023243761	-4.644780637515083	2.05498044820414e-6	3.591168463958147e-4
ZP1	ENSG00000149506	8151	2.115932532899591	-2.5565281905327244	4.637061707796781	2.1306793787314694e-6	3.691077789833768e-4
LEFTY2	ENSG00000143768	4785	2.248824158135049	-0.9757179413880525	4.620458736055748	2.302682601660491e-6	3.9546588612310605e-4
NPHP1	ENSG00000144061	82755	1.677790161355034	-1.1026890619588146	4.607104408960884	2.4506283241226742e-6	4.1727707242027276e-4
ZYG11A	ENSG00000203995	52487	2.177717046341979	-0.8797006537257367	4.595378234615771	2.5880231885371975e-6	4.369372708647292e-4
TUBB4A	ENSG00000104833	8529	2.3372616290723944	-4.092849348004494	4.590667211384462	2.645278157415129e-6	4.4285068447079157e-4
	ENSG00000270036	723	-2.0918076933658662	-4.864890555662796	-4.570989351632777	2.897845853607331e-6	4.810907091297104e-4
GLMP	ENSG00000198715	5600	1.3173918995857807	4.572256436189806	4.567383835547811	2.9465643105213316e-6	4.8493132144300375e-4
LILRB4	ENSG00000186818	26470	2.4854955332612265	2.414141373520524	4.56569432457537	2.969662745509811e-6	4.8493132144300375e-4
CATSPER1	ENSG00000175294	9727	2.052389503607508	-4.447790829010919	4.562504449129225	3.0137480597750034e-6	4.88129177616566e-4
MAGI1	ENSG00000151276	685393	2.415879010264151	-2.461708319238397	4.554818476268181	3.1225645298989187e-6	5.016752464890828e-4
GRIA2	ENSG00000120251	161893	2.3457481742371775	-4.817747383521481	4.545802437517127	3.255016403712569e-6	5.124867977440396e-4
TRAT1	ENSG00000163519	32235	-2.668514637735686	1.0305971350864118	-4.545217756360897	3.2637892668857748e-6	5.124867977440396e-4
CD70	ENSG00000125726	20920	2.169709439789987	-3.3619826495564804	4.545001981324905	3.2670325927865187e-6	5.124867977440396e-4
TPT1	ENSG00000133112	7813	-1.3468737878076151	11.098302936640493	-4.524337432965628	3.592381523920949e-6	5.591205056215089e-4
SOCS3	ENSG00000184557	3299	2.295749582099309	4.035350114027841	4.522422884140326	3.624049287301895e-6	5.596768209428554e-4
FRZB	ENSG00000162998	33362	-2.4970203428053326	6.550652189393242	-4.516561990484522	3.722663818559756e-6	5.698833353954667e-4
CYRIA	ENSG00000197872	116872	-1.7630955928056111	5.094104583574696	-4.515118097434247	3.7473505138442994e-6	5.698833353954667e-4
SCIRT	ENSG00000237686	143083	2.2815715215273173	-2.812992978293192	4.51237579669958	3.794669119271998e-6	5.727075620767936e-4
GAS6-AS1	ENSG00000233695	30114	-1.7658603746105128	-1.7944724313659604	-4.494621111199964	4.115169498859556e-6	6.164090733554892e-4
SHISA2	ENSG00000180730	7419	-2.954917266797638	-0.058127159468335354	-4.487986509291671	4.241464512981425e-6	6.305854927434026e-4
NOS1AP	ENSG00000198929	300784	2.0590287356913093	-2.0179360199423813	4.472856876858677	4.543504433146453e-6	6.704866319788417e-4
DRP2	ENSG00000102385	44733	1.8047735254275614	-3.331238195967453	4.469991744149912	4.602975926362724e-6	6.742682823896926e-4
CASP4LP	ENSG00000235505	17524	-2.361669931789341	1.4540061612052417	-4.454892179563165	4.92891727223765e-6	7.167437218796968e-4
SMAD1	ENSG00000170365	77982	-2.5856557302325633	1.5446739787805328	-4.436693407932821	5.35116122555788e-6	7.72506043011334e-4
HSPA8P4	ENSG00000248610	1919	-2.1019901715117704	-1.8556761645409179	-4.415006522861756	5.899596266765566e-6	8.455522073849181e-4
ZC3H12D	ENSG00000178199	38219	-1.95704603940814	1.1467968626601794	-4.402282390371968	6.24598610315858e-6	8.88803822479466e-4
C1orf21	ENSG00000116667	241990	2.1809657634056547	2.2486321478975206	4.398934139697237	6.340319048498451e-6	8.90107918751744e-4
SYNC	ENSG00000162520	23690	2.528010492583399	-2.1447644813824605	4.398786500560648	6.3445098114018495e-6	8.90107918751744e-4
CHST3	ENSG00000122863	49163	-2.4274027159691345	-1.5348881512652566	-4.383520064709399	6.792446244340356e-6	9.462875110471927e-4
P2RY6	ENSG00000171631	40605	-2.492367246277174	0.5318460722486759	-4.378510951082941	6.945896212258298e-6	9.609454468097904e-4
ARGLU1	ENSG00000134884	26464	-1.2605541357654397	6.559701284727316	-4.3759206351797335	7.026542784177675e-6	9.653985196302596e-4
EDNRB	ENSG00000136160	80048	-2.9019181158553207	3.889570881699945	-4.372972164084177	7.1194293688438115e-6	9.714607663431945e-4
	ENSG00000244039	1231	-1.9763643192355653	-4.9622205137870266	-4.366826648178877	7.316820243366049e-6	9.916033529818941e-4
KCNJ3	ENSG00000162989	160499	-2.678471734493443	-1.0304056326394895	-4.3570406310364564	7.641978468940788e-6	0.001028672263907016
LY86-AS1	ENSG00000216863	276306	-2.1033574076163943	-0.6340028330760884	-4.272850520150642	1.1070237782376717e-5	0.00147814739667351
NUDT11	ENSG00000196368	6581	2.0867470172376956	-1.9966105041191298	4.271627034538003	1.1129510566259738e-5	0.00147814739667351
CNTNAP2	ENSG00000174469	2304996	2.216643321849096	-3.1707832764308064	4.247306390060116	1.2372500763396195e-5	0.0016315436779789215
CLSTN2	ENSG00000158258	642212	2.446844355019649	-1.2091266588659748	4.245900109221564	1.2448280245597634e-5	0.0016315436779789215
CST6	ENSG00000175315	1497	2.7116275210993024	-2.6143761136468653	4.243673429525477	1.2569173889828456e-5	0.00163662145250433
LINC01749	ENSG00000272259	75688	2.2295594676376345	-3.8439535087056163	4.2368010891669	1.2949393976467831e-5	0.0016751806935012478
RNVU1-30	ENSG00000206828	163	-2.0311185081644543	-4.145684766586403	-4.225206682165416	1.3615839609629911e-5	0.0017500306884067555
LINC02830	ENSG00000224899	2285	2.15267007848491	-4.17212441211045	4.222574317086114	1.3771636937659657e-5	0.0017587086607183057
PITPNC1	ENSG00000154217	319975	1.6635861689028077	1.706246173707944	4.219017058486744	1.3984875218772207e-5	0.0017745648669323562
TSACC	ENSG00000163467	9681	1.4917134344104248	-2.158158199062677	4.2067288160780985	1.4745953837910628e-5	0.001841727838138863
NEFLP1	ENSG00000232634	983	-2.5346681712855785	-5.0518200415862875	-4.2067017760690035	1.4747671284215509e-5	0.001841727838138863
CHRM3	ENSG00000133019	528887	2.284172018190623	-2.1232781303059074	4.206012585699925	1.4791509592521739e-5	0.001841727838138863
PTP4A3	ENSG00000184489	40459	2.2614070962476402	5.672609968713839	4.203361036040597	1.4961330807580862e-5	0.0018513020642771797
NLGN4X	ENSG00000146938	388230	-2.790404350028763	2.122349332315118	-4.187439999705814	1.6020723210513536e-5	0.0019701533814805595
PBX1	ENSG00000185630	343712	2.341281772102682	-2.471229634494164	4.184478446842328	1.6225508138878673e-5	0.0019830955407530116
RAB29	ENSG00000117280	7496	1.6220366007843965	3.3336745123472435	4.167226120309534	1.746891519111377e-5	0.0021220471246181007
CCL8	ENSG00000108700	1967	-2.3056271955967214	-2.9152261891937523	-4.164688362187888	1.765929607168676e-5	0.0021321727050917796
PGAP1	ENSG00000197121	94792	1.5620175455304617	0.597511000236837	4.160887237583435	1.7948152018123145e-5	0.0021482353931247277
	ENSG00000248596	42070	2.26598899048838	-4.829958952573822	4.160107012276933	1.8007996719798692e-5	0.0021482353931247277
	ENSG00000259420	39918	-1.8711119916864964	-5.562857788419593	-4.155696253882032	1.8349897197933352e-5	0.00217599197605493
FLT1	ENSG00000102755	194799	-2.005180694889214	-2.4139188516573333	-4.146883542477195	1.905160377314189e-5	0.0022458346175652823
CCRL2	ENSG00000121797	5831	-1.896301155313715	1.3005207215043901	-4.140375705066421	1.958609489367634e-5	0.002295259896893059
HPSE2	ENSG00000172987	778785	1.8897836685712033	-5.952230681867873	4.138445243293729	1.9747367995661608e-5	0.00230062611233667
FGFR3	ENSG00000068078	15579	2.893812939420683	-0.5027391708434568	4.135443717391452	2.0000630338388617e-5	0.002316584637217314
RNF183	ENSG00000165188	6283	1.6720992752685349	-3.288117819583456	4.129286793042344	2.0529839833972835e-5	0.0023641356599561087
CLDN14	ENSG00000159261	115948	2.1974434041972533	-1.1421084537124244	4.113237622663392	2.1972637146944805e-5	0.002515740673801347
KCNQ3	ENSG00000184156	360236	2.0920750035063813	-2.985211063793541	4.103867341459958	2.2859052092661394e-5	0.0026022744902285734
C1orf226	ENSG00000239887	7971	2.070738686943507	-0.7513741293388259	4.096237324776703	2.360584188238189e-5	0.0026720203521637047
	ENSG00000253619	206689	-1.9696844022870952	-5.67731020726393	-4.083887142029736	2.4863970001113512e-5	0.002798531131989737
EGR3	ENSG00000179388	5821	-2.001417013757746	0.8050150448461773	-4.080045801156156	2.526810814561253e-5	0.0028228592083771975
GLIS3	ENSG00000107249	524265	-2.1511712774268594	1.3639085682912744	-4.079147545626377	2.5363507594594836e-5	0.0028228592083771975
	ENSG00000271109	11701	2.10032784109758	-3.2280418224489393	4.050909642536045	2.8543044049750512e-5	0.0031590806864396095
KLHDC9	ENSG00000162755	1985	1.4234810848744233	0.6081731636634706	4.046639318824055	2.9055629643317908e-5	0.0031806349946152763
ISL2	ENSG00000159556	5702	-2.333476985589606	1.3210820511302661	-4.0466271630759065	2.905710114546633e-5	0.0031806349946152763
CD79A	ENSG00000105369	4093	-2.0536664914541474	5.3172701320744045	-4.035797613286674	3.039654658154992e-5	0.003309071043702937
C16orf74	ENSG00000154102	61045	-2.0547306872628375	1.494145093211485	-4.028212095040425	3.136942920985585e-5	0.0033939294593669862
FAM13A	ENSG00000138640	385443	-1.4584637522518236	5.605132583760833	-4.027082851728987	3.1516762874354604e-5	0.0033939294593669862
RPL32P29	ENSG00000244270	402	-1.550900442057674	0.9963506701307561	-3.9968232032309334	3.5718242197596715e-5	0.003825692586346891
SUSD4	ENSG00000143502	143414	2.1372161094581847	-4.469049397875985	3.977912834308762	3.86079157273356e-5	0.0041047112277434175
NEK2	ENSG00000117650	16973	1.6668641659077115	0.14857014930968918	3.977110105771972	3.8735353419122704e-5	0.0041047112277434175
LINC01852	ENSG00000236914	4178	1.9403021829778293	-3.551135292942043	3.96817439327277	4.0181128000260416e-5	0.004235388529212635
NKAIN2	ENSG00000188580	1021775	2.1879130746880233	-4.357200094734062	3.9665007570681774	4.0457541317742396e-5	0.004242079674379284
NUAK1	ENSG00000074590	75609	2.370716797565877	-2.6098392536381123	3.9610200981047057	4.1375375023367046e-5	0.0043156032524372685
RPL21P75	ENSG00000213860	482	-1.3154908732789412	7.977602837745264	-3.9581891870030117	4.1857152527893015e-5	0.0043431155867744
	ENSG00000223599	1308	1.4901914758724866	-2.69260682363057	3.9538860608002273	4.2599667435214596e-5	0.004397256863442204
CA8	ENSG00000178538	95988	2.188821352760641	-0.8872397654092474	3.9485654391957845	4.353500678608726e-5	0.004470641263878507
DOK5	ENSG00000101134	175576	2.147642860423038	-4.8177509636132765	3.9449982702425097	4.417295192753225e-5	0.004512889991283577
CIR1P2	ENSG00000250215	1341	-1.8932244190158634	-3.4440011581583443	-3.9347586274818123	4.605372150044383e-5	0.00468103183536654
SCD5	ENSG00000145284	169257	-2.009838715797162	1.4421600779211452	-3.930215098587265	4.691231455781304e-5	0.004744097109750007
SMOC1	ENSG00000198732	178235	-1.7126756585431995	5.045145991890121	-3.9185692927112865	4.9182741721699344e-5	0.0049485786897964365
FOLR2	ENSG00000165457	5349	-2.0570245600808974	-0.039599261382635434	-3.9158561689468994	4.972641811396388e-5	0.0049781392043537105
MYBPC2	ENSG00000086967	33429	2.580670670016369	-2.773378988969014	3.9133615305230833	5.0231326419659125e-5	0.005003542424662245
RPL21P16	ENSG00000220842	482	-1.317774382451411	8.295951402184912	-3.909873566059177	5.094541854748204e-5	0.005049426011457399
MUC15	ENSG00000169550	13231	2.0750810967708526	-5.6455747464431845	3.907012216268826	5.1538383457664466e-5	0.0050829092833841166
ZNF571	ENSG00000180479	40010	1.6041980244760272	0.331858825284159	3.8834790086651583	5.666895614040691e-5	0.005561374109503381
ADGRL2	ENSG00000117114	687785	-2.6450244906959544	-0.09962169846574567	-3.88106695335418	5.7221272376293395e-5	0.005588049942551554
SLC49A3	ENSG00000169026	7442	-1.915033307664944	-0.5249204254813417	-3.8785229909657164	5.780930456757975e-5	0.005617936417538165
MYL4	ENSG00000198336	23233	-1.7356962185874678	-1.7608088149974535	-3.8755094482819175	5.851327024938505e-5	0.005658744514117714
IL6R-AS1	ENSG00000228013	4236	1.5358322271318636	-1.2589251447709309	3.857293640554578	6.294403898114326e-5	0.006057831616339788
NAP1L3	ENSG00000186310	2648	2.0762018275736	-2.700128312135531	3.84403537928086	6.63662559536475e-5	0.006356483418791181
