sample	segment_count	included
X20131001_Cytoscan_MM323_.CytoScanHD_Array.	67	yes
X20131104_Cytoscan_MM324_.CytoScanHD_Array.	98	yes
MM_cytoscanHD26012018_934_.CytoScanHD_Array.	176	yes
X20131105_Cytoscan_MM340_.CytoScanHD_Array.	90	yes
X20131105_Cytoscan_MM341_.CytoScanHD_Array.	113	yes
MM_cytoscanHD_10262017_867_.CytoScanHD_Array.	73	yes
MM__CytoscanHD_03072018.1035_.CytoScanHD_Array._2	41	yes
MM_cytoscanHD14032018_941_.CytoScanHD_Array.	91	yes
X20131105_Cytoscan_MM342_.CytoScanHD_Array.	37	yes
X20131105_Cytoscan_MM343_.CytoScanHD_Array.	47	yes
X20131125_Cytoscan_MM_346_.CytoScanHD_Array.	68	yes
X20131125_Cytoscan_MM_347_.CytoScanHD_Array.	64	yes
MM_cytoscanHD14032018_942_.CytoScanHD_Array.	52	yes
X20131105_Cytoscan_MM344_.CytoScanHD_Array.	60	yes
MM_cytoscanHD14032018_943_.CytoScanHD_Array.	57	yes
MM_cytoscanHD14032018_944_.CytoScanHD_Array.	134	yes
MM__CytoscanHD_10052018_998_.CytoScanHD_Array.	71	yes
MM_cytoscanHD22032018_945_.CytoScanHD_Array.	57	yes
X20131125_Cytoscan_MM_349_.CytoScanHD_Array.	56	yes
X20130725_Cytoscan_MM302_.CytoScanHD_Array.	108	yes
MM_cytoscanHD3042018_956_.CytoScanHD_Array.	139	yes
MM_cytoscanHD3042018_957_.CytoScanHD_Array.	123	yes
X20131125_Cytoscan_MM_350_.CytoScanHD_Array.	69	yes
X20131125_Cytoscan_MM_351_.CytoScanHD_Array.	97	yes
X20131125_Cytoscan_MM_352_.CytoScanHD_Array.	55	yes
X20131125_Cytoscan_MM_353_.CytoScanHD_Array.	73	yes
X20131126_Cytoscan_MM_355_.CytoScanHD_Array.	63	yes
X20131126_Cytoscan_MM_356_.CytoScanHD_Array.	66	yes
MM__CytoscanHD_10052018_997_.CytoScanHD_Array.	68	yes
X20131126_Cytoscan_MM_357_.CytoScanHD_Array.	61	yes
MM__CytoscanHD_03072018_1036_.CytoScanHD_Array.	83	yes
X20131126_Cytoscan_MM_358_.CytoScanHD_Array.	53	yes
X20131126_Cytoscan_MM_359_.CytoScanHD_Array.	85	yes
X20131209_Cytoscan_MM_362_.CytoScanHD_Array.	49	yes
MM__CytoscanHD_03072018_1037_.CytoScanHD_Array.	58	yes
X20131126_Cytoscan_MM_360_.CytoScanHD_Array.	91	yes
X20131126_Cytoscan_MM_361_.CytoScanHD_Array.	55	yes
X20131209_Cytoscan_MM_363_.CytoScanHD_Array.	36	yes
X20131209_Cytoscan_MM_364_.CytoScanHD_Array.	81	yes
MM__CytoscanHD_03072018_1038_.CytoScanHD_Array.	71	yes
MM_cytoscanHD14032018_946_.CytoScanHD_Array.	100	yes
X20130725_Cytoscan_MM303_.CytoScanHD_Array.	55	yes
MM_cytoscanHD14032018_947_.CytoScanHD_Array.	76	yes
X20131209_Cytoscan_MM_365_.CytoScanHD_Array.	202	yes
X20131209_Cytoscan_MM_366_.CytoScanHD_Array.	71	yes
X20131209_Cytoscan_MM_367_.CytoScanHD_Array.	141	yes
X20131209_Cytoscan_MM_368_.CytoScanHD_Array.	71	yes
MM__CytoscanHD_03072018_1039_.CytoScanHD_Array.	61	yes
X20131209_Cytoscan_MM_369_.CytoScanHD_Array.	74	yes
X20140107_Cytoscan_MM_Flores_370_.CytoScanHD_Array.	142	yes
X20140107_Cytoscan_MM_Flores_371_.CytoScanHD_Array.	88	yes
X20140107_Cytoscan_MM_Flores_372_.CytoScanHD_Array.	113	yes
X20140204_MART_MM_Cyto373_.CytoScanHD_Array.	48	yes
X20140204_MART_MM_Cyto374_.CytoScanHD_Array.	122	yes
X20140204_MART_MM_Cyto375_.CytoScanHD_Array.	58	yes
X20150519_MG_MM_Cyto454_.CytoScanHD_Array.	34	yes
X20150519_MG_MM_Cyto455_.CytoScanHD_Array.	83	yes
X20140204_MART_MM_Cyto376_.CytoScanHD_Array.	61	yes
MM_cytoscanHD26012018_933_.CytoScanHD_Array.	61	yes
X20130711_Cytoscan_MM296_.CytoScanHD_Array.	73	yes
X20140204_MART_MM_Cyto377_.CytoScanHD_Array.	102	yes
X20140204_MART_MM_Cyto378_.CytoScanHD_Array.	79	yes
MM_cytoscanHD24012018_919_.CytoScanHD_Array.	55	yes
X20140204_MART_MM_Cyto379_.CytoScanHD_Array.	77	yes
X20140204_MART_MM_Cyto380_.CytoScanHD_Array.	71	yes
X20131001_Cytoscan_MM318_.CytoScanHD_Array.	109	yes
X20140217_MART_MM_Cyto382_.CytoScanHD_Array.	54	yes
X20140414_MART_MM_Cyto412_.CytoScanHD_Array.	60	yes
X20160727_MG_MM_Cyto605_.CytoScanHD_Array.	103	yes
X20140217_MART_MM_Cyto383_.CytoScanHD_Array.	66	yes
X20150326_MG_MM_Cyto438_.CytoScanHD_Array.	173	yes
X20150326_MG_MM_Cyto439_.CytoScanHD_Array.	94	yes
X20140217_MART_MM_Cyto384_.CytoScanHD_Array.	44	yes
X20140217_MART_MM_Cyto385_.CytoScanHD_Array.	72	yes
X20140217_MART_MM_Cyto386_.CytoScanHD_Array.	49	yes
X20140217_MART_MM_Cyto387_.CytoScanHD_Array.	40	yes
X20140310_MART_MM_Cyto388_.CytoScanHD_Array.	56	yes
X20140310_MART_MM_Cyto389_.CytoScanHD_Array.	56	yes
X20150326_MG_MM_Cyto440_.CytoScanHD_Array.	58	yes
X20140310_MART_MM_Cyto390_.CytoScanHD_Array.	209	yes
X20140310_MART_MM_Cyto391_.CytoScanHD_Array.	94	yes
X20140310_MART_MM_Cyto392_.CytoScanHD_Array.	129	yes
X20140310_MART_MM_Cyto394_.CytoScanHD_Array.	87	yes
X20140319_MART_MM_Cyto396_.CytoScanHD_Array.	148	yes
X20140319_MART_MM_Cyto397_.CytoScanHD_Array.	68	yes
MM_cytoscanHD24012018_921_.CytoScanHD_Array.	65	yes
X20140319_MART_MM_Cyto398_.CytoScanHD_Array.	47	yes
X20140319_MART_MM_Cyto399_.CytoScanHD_Array.	88	yes
X20140319_MART_MM_Cyto400_.CytoScanHD_Array.	99	yes
X20140319_MART_MM_Cyto401_.CytoScanHD_Array.	173	yes
MM_cytoscanHD_09212017_849_.CytoScanHD_Array.	116	yes
MM_cytoscanHD_09212017_850_.CytoScanHD_Array.	72	yes
MM_cytoscanHD_14092017_832_.CytoScanHD_Array.	50	yes
X20140414_MART_MM_Cyto413_.CytoScanHD_Array.	79	yes
MM_cytoscanHD_14092017_833_.CytoScanHD_Array.	87	yes
MM_cytoscanHD_14092017_835_.CytoScanHD_Array.	252	yes
MM_cytoscanHD_09132017_837_.CytoScanHD_Array.	79	yes
MM_cytoscanHD_09132017_838_.CytoScanHD_Array.	44	yes
MM_cytoscanHD_09132017_839_.CytoScanHD_Array.	75	yes
MM_cytoscanHD_14092017_834_.CytoScanHD_Array.	48	yes
X20150422_MG_MM_Cyto452_.CytoScanHD_Array.	47	yes
X20140414_MART_MM_Cyto414_.CytoScanHD_Array.	53	yes
X20140414_MART_MM_Cyto415_.CytoScanHD_Array.	67	yes
MM_cytoscanHD24012018_922_.CytoScanHD_Array.	69	yes
X20150305_MG_MM_Cyto430_.CytoScanHD_Array.	65	yes
MM_cytoscanHD24012018_923_.CytoScanHD_Array.	119	yes
MM_cytoscanHD24012018_924_.CytoScanHD_Array.	119	yes
X20150422_MG_MM_Cyto447_.CytoScanHD_Array.	73	yes
X20150422_MG_MM_Cyto448_.CytoScanHD_Array._2	42	yes
X20150422_MG_MM_Cyto449_.CytoScanHD_Array.	51	yes
X20150305_MG_MM_Cyto431_.CytoScanHD_Array.	116	yes
X20150305_MG_MM_Cyto432_.CytoScanHD_Array.	58	yes
X20150422_MG_MM_Cyto446_.CytoScanHD_Array.	88	yes
X20150305_MG_MM_Cyto434_.CytoScanHD_Array.	61	yes
X20160725_MG_MM_Cyto601_.CytoScanHD_Array.	66	yes
X20150519_MG_MM_Cyto461_.CytoScanHD_Array.	71	yes
X20150305_MG_MM_Cyto435_.CytoScanHD_Array.	53	yes
X20150326_MG_MM_Cyto441_.CytoScanHD_Array.	71	yes
X20150422_MG_MM_Cyto451_.CytoScanHD_Array.	152	yes
X20150305_MG_MM_Cyto436_.CytoScanHD_Array.	81	yes
X20150326_MG_MM_Cyto442_.CytoScanHD_Array.	105	yes
X20150326_MG_MM_Cyto444_.CytoScanHD_Array.	54	yes
X20150326_MG_MM_Cyto445_.CytoScanHD_Array.	78	yes
X20150519_MG_MM_Cyto457_.CytoScanHD_Array.	137	yes
X20150519_MG_MM_Cyto458_.CytoScanHD_Array.	51	yes
X20150519_MG_MM_Cyto459_.CytoScanHD_Array.	75	yes
X20150519_MG_MM_Cyto460_.CytoScanHD_Array.	37	yes
MM_cytoscanHD14032018_948_.CytoScanHD_Array.	48	yes
X20150519_MG_MM_Cyto463_.CytoScanHD_Array.	79	yes
X20150519_MG_MM_Cyto464_.CytoScanHD_Array.	77	yes
X20150519_MG_MM_Cyto465_.CytoScanHD_Array.	75	yes
X20150519_MG_MM_Cyto466_.CytoScanHD_Array.	47	yes
X20150519_MG_MM_Cyto467_.CytoScanHD_Array.	71	yes
MM_cytoscanHD24012018_925_.CytoScanHD_Array.	56	yes
MM_cytoscanHD_10022017_852_.CytoScanHD_Array.	73	yes
MM_cytoscanHD28022018_936_.CytoScanHD_Array.	89	yes
MM_cytoscanHD26012018_932_.CytoScanHD_Array.	72	yes
X20160704_MG_MM_Cyto577_.CytoScanHD_Array.	82	yes
MM_cytoscanHD22032018_949_.CytoScanHD_Array.	72	yes
MM_cytoscanHD_10192017_861_.CytoScanHD_Array.	96	yes
MM_cytoscanHD_10262017_868_.CytoScanHD_Array.	82	yes
X20160126_MG_MM_Cyto543_.CytoScanHD_Array.	104	yes
X20160126_MG_MM_Cyto544_.CytoScanHD_Array.	113	yes
X20160126_MG_MM_Cyto545_.CytoScanHD_Array.	63	yes
X20160126_MG_MM_Cyto548_.CytoScanHD_Array.	81	yes
X20170726_MG_MM_Cyto813_.CytoScanHD_Array.	37	yes
MM__CytoscanHD_11062018_1019_.CytoScanHD_Array.	58	yes
MM_cytoscanHD22032018_950_.CytoScanHD_Array.	73	yes
MM_cytoscanHD22032018_951_.CytoScanHD_Array.	112	yes
MM_CytoscanHD_07052018_992_.CytoScanHD_Array.	53	yes
MM_cytoscanHD22032018_952_.CytoScanHD_Array.	47	yes
X20140527_MART_MM_Cyto421_.CytoScanHD_Array.	52	yes
MM_CytoscanHD_07052018_989_.CytoScanHD_Array.	55	yes
MM_cytoscanHD22032018_953_.CytoScanHD_Array.	68	yes
MM_cytoscanHD22032018_954_.CytoScanHD_Array.	56	yes
X20140616_MART_MM_Cyto423_.CytoScanHD_Array.	52	yes
MM_cytoscanHD22032018_955_.CytoScanHD_Array.	205	yes
X20170726_MG_MM_Cyto810_.CytoScanHD_Array.	86	yes
X20140527_MART_MM_Cyto420_.CytoScanHD_Array.	144	yes
MM_CytoscanHD_07052018_990_.CytoScanHD_Array.	109	yes
X20140527_MART_MM_Cyto419_.CytoScanHD_Array.	132	yes
MM_CytoscanHD_07052018_991_.CytoScanHD_Array.	74	yes
MM_CytoscanHD_07052018_984_.CytoScanHD_Array.	104	yes
MM__CytoscanHD_11062018_1020_.CytoScanHD_Array.	35	yes
X20160727_MG_MM_Cyto609_.CytoScanHD_Array.	131	yes
X20160727_MG_MM_Cyto610_.CytoScanHD_Array.	171	yes
MM__CytoscanHD_11062018_1021_.CytoScanHD_Array.	76	yes
X20160727_MG_MM_Cyto604_.CytoScanHD_Array.	118	yes
X20160503_MG_MM_Cyto561_.CytoScanHD_Array.	57	yes
X20160503_MG_MM_Cyto562_.CytoScanHD_Array.	89	yes
X20160503_MG_MM_Cyto563_.CytoScanHD_Array.	65	yes
X20161109_MG_MM_Cyto681_.CytoScanHD_Array.	59	yes
X20160503_MG_MM_Cyto564_.CytoScanHD_Array.	46	yes
X20160503_MG_MM_Cyto565_.CytoScanHD_Array.	170	yes
X20161109_MG_MM_Cyto682_.CytoScanHD_Array.	62	yes
X20161109_MG_MM_Cyto683_.CytoScanHD_Array.	175	yes
X20161109_MG_MM_Cyto685_.CytoScanHD_Array.	58	yes
X20161109_MG_MM_Cyto687_.CytoScanHD_Array.	61	yes
X20170102_MG_MM_Cyto717_.CytoScanHD_Array.	77	yes
X20161109_MG_MM_Cyto688_.CytoScanHD_Array.	82	yes
X20161109_MG_MM_Cyto689_.CytoScanHD_Array.	67	yes
X20161109_MG_MM_Cyto690_.CytoScanHD_Array.	142	yes
X20161109_MG_MM_Cyto691_.CytoScanHD_Array.	94	yes
X20160727_MG_MM_Cyto608_.CytoScanHD_Array.	151	yes
X20170102_MG_MM_Cyto718_.CytoScanHD_Array.	87	yes
X20161109_MG_MM_Cyto692_.CytoScanHD_Array.	78	yes
X20161110_MG_MM_Cyto703_.CytoScanHD_Array.	86	yes
X20161110_MG_MM_Cyto704_.CytoScanHD_Array.	82	yes
X20161110_MG_MM_Cyto702_.CytoScanHD_Array.	62	yes
X20161109_MG_MM_Cyto684_.CytoScanHD_Array.	89	yes
X20161109_MG_MM_Cyto686_.CytoScanHD_Array.	146	yes
X20170102_MG_MM_Cyto720_.CytoScanHD_Array.	47	yes
X20170103_MG_MM_Cyto707_.CytoScanHD_Array.	45	yes
X20170103_MG_MM_Cyto708_.CytoScanHD_Array.	87	yes
X20170103_MG_MM_Cyto709_.CytoScanHD_Array.	78	yes
X20160727_MG_MM_Cyto598b_.CytoScanHD_Array.	91	yes
X20170103_MG_MM_Cyto712_.CytoScanHD_Array.	84	yes
X20170103_MG_MM_Cyto713_.CytoScanHD_Array.	76	yes
X20170103_MG_MM_Cyto714_.CytoScanHD_Array.	166	yes
X20170103_MG_MM_Cyto715_.CytoScanHD_Array.	95	yes
X20170103_MG_MM_Cyto716_.CytoScanHD_Array.	46	yes
X20170102_MG_MM_Cyto721_.CytoScanHD_Array.	108	yes
X20170102_MG_MM_Cyto722_.CytoScanHD_Array.	61	yes
X20170102_MG_MM_Cyto723_.CytoScanHD_Array.	100	yes
X20170102_MG_MM_Cyto724_.CytoScanHD_Array.	147	yes
X20170102_MG_MM_Cyto726_.CytoScanHD_Array.	73	yes
MM_cytoscanHD_08282017_819_.CytoScanHD_Array.	94	yes
MM_cytoscanHD_08282017_820_.CytoScanHD_Array.	117	yes
MM_cytoscanHD_08282017_821_.CytoScanHD_Array.	120	yes
MM_cytoscanHD_08302017_824_.CytoScanHD_Array.	102	yes
MM_cytoscanHD_08302017_825_.CytoScanHD_Array.	58	yes
MM_cytoscanHD_08302017_826_.CytoScanHD_Array.	99	yes
MM_cytoscanHD_08302017_827_.CytoScanHD_Array.	117	yes
MM_cytoscanHD_08302017_828_.CytoScanHD_Array.	51	yes
MM_cytoscanHD_08302017_829_.CytoScanHD_Array.	110	yes
MM_cytoscanHD_09132017_840_.CytoScanHD_Array.	223	yes
MM_cytoscanHD_09132017_841_.CytoScanHD_Array.	82	yes
MM_cytoscanHD_09132017_842_.CytoScanHD_Array.	88	yes
MM_cytoscanHD_10192017_864_.CytoScanHD_Array.	47	yes
MM_cytoscanHD_10262017_870_.CytoScanHD_Array.	122	yes
MM_cytoscanHD_10262017_871_.CytoScanHD_Array.	60	yes
MM_cytoscanHD_10262017_872_.CytoScanHD_Array.	168	yes
MM__CytoscanHD_31052018_1016_.CytoScanHD_Array.	170	yes
MM__CytoscanHD_31052018_1017_.CytoScanHD_Array.	80	yes
MM__CytoscanHD_11062018_1022_.CytoScanHD_Array.	113	yes
MM_cytoscanHD_10192017_859_.CytoScanHD_Array.	81	yes
X20160704_MG_MM_Cyto582_.CytoScanHD_Array.	87	yes
MM__CytoscanHD_10052018_1000_.CytoScanHD_Array.	83	yes
MM__CytoscanHD_11062018_1023_.CytoScanHD_Array.	48	yes
MM__CytoscanHD_11062018_1024_.CytoScanHD_Array.	74	yes
MM__CytoscanHD_11062018_1025_.CytoScanHD_Array.	102	yes
X20170719_MG_MM_Cyto_D3MM_.CytoScanHD_Array.	97	yes
MM__CytoscanHD_21062018_1027_.CytoScanHD_Array.	47	yes
MM_cytoscanHD_10192017_860_.CytoScanHD_Array.	99	yes
MM__CytoscanHD_21062018_1028_.CytoScanHD_Array.	49	yes
X20170726_MG_MM_Cyto808_.CytoScanHD_Array.	123	yes
MM__CytoscanHD_21062018_1029_.CytoScanHD_Array.	95	yes
MM__CytoscanHD_21062018_1030_.CytoScanHD_Array.	79	yes
MM__CytoscanHD_21062018_1031_.CytoScanHD_Array.	72	yes
MM__CytoscanHD_21062018_1032_.CytoScanHD_Array.	151	yes
MM__CytoscanHD_31052018_1010_.CytoScanHD_Array.	182	yes
MM__CytoscanHD_03072018_1040_.CytoScanHD_Array.	48	yes
MM__CytoscanHD_03072018_1041_.CytoScanHD_Array.	62	yes
X20160725_MG_MM_Cyto592_.CytoScanHD_Array.	141	yes
MM__CytoscanHD_10052018_1001_.CytoScanHD_Array.	96	yes
MM_cytoscanHD_11162017_886_.CytoScanHD_Array.	52	yes
MM__CytoscanHD_31052018_1013_.CytoScanHD_Array.	66	yes
MM__CytoscanHD_31052018_1014_.CytoScanHD_Array.	97	yes
MM__CytoscanHD_31052018_1015_.CytoScanHD_Array.	74	yes
MM__CytoscanHD_24052018_1007_.CytoScanHD_Array.	69	yes
MM__CytoscanHD_24052018_1008_.CytoScanHD_Array.	39	yes
MM__CytoscanHD_24052018_1009_.CytoScanHD_Array.	85	yes
MM__CytoscanHD_11062018_1018_.CytoScanHD_Array.	53	yes
MM__CytoscanHD_31052018_1011_.CytoScanHD_Array.	111	yes
MM_CytoscanHD_17042018_975_.CytoScanHD_Array.	98	yes
MM_CytoscanHD_17042018_974_.CytoScanHD_Array.	59	yes
MM_CytoscanHD_17042018_973_.CytoScanHD_Array.	70	yes
MM_CytoscanHD_17042018_972_.CytoScanHD_Array.	230	yes
MM_CytoscanHD_17042018_971_.CytoScanHD_Array.	56	yes
X20170605_MG_MM_Cyto762_.CytoScanHD_Array.	109	yes
MM_cytoscanHD_10262017_869_.CytoScanHD_Array.	323	yes
X20161110_MG_MM_Cyto696_.CytoScanHD_Array.	88	yes
X20170704_MG_MM_Cyto788_.CytoScanHD_Array._2	62	yes
MM_cytoscanHD_011518_904_.CytoScanHD_Array.	57	yes
X20170605_MG_MM_Cyto773_.CytoScanHD_Array.	89	yes
MM_cytoscanHD_10022017_855_.CytoScanHD_Array.	50	yes
X20170605_MG_MM_Cyto763_.CytoScanHD_Array.	104	yes
X20170627_MG_MM_Cyto774_.CytoScanHD_Array.	64	yes
X20140527_MART_MM_Cyto418_.CytoScanHD_Array.	94	yes
MM_cytoscanHD3042018_964_.CytoScanHD_Array.	123	yes
X20170627_MG_MM_Cyto775_.CytoScanHD_Array.	65	yes
X20170704_MG_MM_Cyto790_.CytoScanHD_Array.	48	yes
X20170704_MG_MM_Cyto784_.CytoScanHD_Array.	50	yes
X20170704_MG_MM_Cyto791_.CytoScanHD_Array.	68	yes
MM_cytoscanHD_08282017_822_.CytoScanHD_Array.	82	yes
X20150708_MG_MM_Cyto487_.CytoScanHD_Array.	45	yes
MM_cytoscanHD_08282017_816_.CytoScanHD_Array.	46	yes
X20161004_MG_MM_Cyto648_.CytoScanHD_Array.	74	yes
X20170627_MG_MM_Cyto776_.CytoScanHD_Array.	63	yes
X20170704_MG_MM_Cyto792_.CytoScanHD_Array.	87	yes
X20170704_MG_MM_Cyto793_.CytoScanHD_Array.	72	yes
MM__CytoscanHD_10052018_993_.CytoScanHD_Array.	55	yes
MM_cytoscanHD_11092017_876_.CytoScanHD_Array.	130	yes
X20170605_MG_MM_Cyto765_.CytoScanHD_Array.	111	yes
MM_CytoscanHD_17042018_966_.CytoScanHD_Array.	97	yes
MM_cytoscanHD_19092017_D8_.CytoScanHD_Array.	73	yes
X20170704_MG_MM_Cyto787_.CytoScanHD_Array._2	44	yes
X20170627_MG_MM_Cyto778_.CytoScanHD_Array.	53	yes
X20170605_MG_MM_Cyto767_.CytoScanHD_Array.	109	yes
MM_cytoscanHD_11302017_891_.CytoScanHD_Array.	48	yes
MM_cytoscanHD_11162017_880_.CytoScanHD_Array.	268	yes
X20170717_MG_MM_Cyto794_.CytoScanHD_Array.	49	yes
X20170719_MG_MM_Cyto_D1MM_.CytoScanHD_Array.	180	yes
X20140616_MART_MM_Cyto422_.CytoScanHD_Array.	109	yes
X20140527_MART_MM_Cyto416_.CytoScanHD_Array.	124	yes
MM_cytoscanHD_11302017_887_.CytoScanHD_Array.	55	yes
X20161005_MG_MM_Cyto649_.CytoScanHD_Array.	64	yes
MM__CytoscanHD_10052018_995_.CytoScanHD_Array.	65	yes
X20161110_MG_MM_Cyto693_.CytoScanHD_Array.	47	yes
X20170605_MG_MM_Cyto768_.CytoScanHD_Array.	65	yes
X20170605_MG_MM_Cyto769_.CytoScanHD_Array.	130	yes
X20161005_MG_MM_Cyto654_.CytoScanHD_Array.	56	yes
X20161005_MG_MM_Cyto655_.CytoScanHD_Array.	177	yes
X20161004_MG_MM_Cyto675_.CytoScanHD_Array.	63	yes
X20170605_MG_MM_Cyto770_.CytoScanHD_Array.	108	yes
MM_CytoscanHD_17042018_968_.CytoScanHD_Array.	151	yes
X20170717_MG_MM_Cyto795_.CytoScanHD_Array.	48	yes
X20160727_MG_MM_Cyto607_.CytoScanHD_Array.	51	yes
MM_cytoscanHD_11092017_879_.CytoScanHD_Array.	72	yes
X20161005_MG_MM_Cyto653_.CytoScanHD_Array.	61	yes
MM_CytoscanHD_26042018_976_.CytoScanHD_Array.	46	yes
X20170717_MG_MM_Cyto796_.CytoScanHD_Array.	109	yes
X20150708_MG_MM_Cyto484_.CytoScanHD_Array.	356	yes
MM_CytoscanHD_07052018_985_.CytoScanHD_Array.	117	yes
MM__CytoscanHD_24052018_1004_.CytoScanHD_Array.	83	yes
X20150708_MG_MM_Cyto488_.CytoScanHD_Array.	54	yes
MM_cytoscanHD_11162017_884_.CytoScanHD_Array.	52	yes
X20170717_MG_MM_Cyto797_.CytoScanHD_Array.	110	yes
X20170605_MG_MM_Cyto771_.CytoScanHD_Array.	91	yes
MM_CytoscanHD_07052018_987_.CytoScanHD_Array.	66	yes
X20150623_MART_MM_Cyto474_.CytoScanHD_Array.	140	yes
X20150708_MG_MM_Cyto495_.CytoScanHD_Array.	61	yes
X20140527_MART_MM_Cyto417_.CytoScanHD_Array.	103	yes
X20161004_MG_MM_Cyto677_.CytoScanHD_Array.	86	yes
X20170605_MG_MM_Cyto772_.CytoScanHD_Array.	113	yes
X20170717_MG_MM_Cyto799_.CytoScanHD_Array.	220	yes
X20150708_MG_MM_Cyto485_.CytoScanHD_Array.	99	yes
X20140616_MART_MM_Cyto427_.CytoScanHD_Array.	78	yes
X20151105_MART_MM_Cyto525_.CytoScanHD_Array.	142	yes
X20151105_MART_MM_Cyto526_.CytoScanHD_Array.	76	yes
X20150708_MG_MM_Cyto492_.CytoScanHD_Array.	58	yes
X20151105_MART_MM_Cyto521_.CytoScanHD_Array.	98	yes
X20151216_MART_MM_Cyto535_.CytoScanHD_Array.	91	yes
X20151105_MART_MM_Cyto527_.CytoScanHD_Array.	51	yes
X20151105_MART_MM_Cyto528_.CytoScanHD_Array.	115	yes
X20151105_MART_MM_Cyto523_.CytoScanHD_Array.	66	yes
X20160309_MG_MM_Cyto556_.CytoScanHD_Array.	66	yes
X20151105_MART_MM_Cyto529_.CytoScanHD_Array.	107	yes
X20151105_MART_MM_Cyto518_.CytoScanHD_Array.	123	yes
X20160309_MG_MM_Cyto557_.CytoScanHD_Array.	35	yes
X20150708_MG_MM_Cyto493_.CytoScanHD_Array.	83	yes
X20151105_MART_MM_Cyto520_.CytoScanHD_Array.	119	yes
X20151105_MART_MM_Cyto530_.CytoScanHD_Array.	74	yes
X20151105_MART_MM_Cyto522_.CytoScanHD_Array.	46	yes
X20170717_MG_MM_Cyto800_.CytoScanHD_Array.	52	yes
X20110517_MART_MM_SNP94_.GenomeWideSNP_6.	52	yes
X20110517_MART_MM_SNP95_.GenomeWideSNP_6.	33	yes
X20110714_MART_MM_SNP102_.GenomeWideSNP_6.	60	yes
X20110714_MART_MM_SNP103_.GenomeWideSNP_6.	59	yes
X20110920_MART_MM_SNP132_.GenomeWideSNP_6.	46	yes
X20110920_MART_MM_SNP134_.GenomeWideSNP_6.	27	yes
X20110920_MART_MM_SNP135_.GenomeWideSNP_6.	634	yes
X20120727_MART_MM_SNP199_.GenomeWideSNP_6.	48	yes
X20110920_MART_MM_SNP136_.GenomeWideSNP_6.	51	yes
X20120727_MART_MM_SNP201_.GenomeWideSNP_6.	113	yes
X20120510_MART_MM_SNP167_.GenomeWideSNP_6.	78	yes
X20120727_MART_MM_SNP202_.GenomeWideSNP_6.	51	yes
X20120727_MART_MM_SNP204_.GenomeWideSNP_6.	55	yes
X20120727_MART_MM_SNP203_.GenomeWideSNP_6.	56	yes
X20111212_MART_MM_SNP149_.GenomeWideSNP_6.	69	yes
X20120924_MART_MM_SNP206_.GenomeWideSNP_6.	36	yes
