CNV Identifier	Chrmosome	Narrow Region Start	Narrow Region End	Wide Region Start	Wide Region End	Frequency	num_samples
7176	chr1	101695345	101697781	101695345	101697781	6.22	213
7217	chr1	105255036	105256195	105255036	105256195	34.58	1165
7223	chr1	105255085	105256187	105255085	105256187	35.42	413
7236	chr1	105667554	105668448	105667554	105668448	13.14	647
7280	chr1	108733287	108737259	108733287	108737259	23.6	1674
7295	chr1	109573261	109575018	109573261	109575018	21.26	1030
7296	chr1	109573287	109574383	109573287	109574383	11.88	183
7299	chr1	109602611	109603309	109602611	109603309	6.72	230
277	chr1	110187221	110188533	110187221	110188533	11.23	400
7307	chr1	110187273	110189051	110187273	110189051	20.03	717
7322	chr1	111383249	111384514	111383249	111384514	15.93	408
7334	chr1	112695091	112697211	112695091	112697211	12.29	472
7335	chr1	112695675	112697390	112695675	112697390	15.29	216
7336	chr1	112834896	112837823	112834896	112837823	74.89	2496
7348	chr1	113611322	113613777	113611322	113613777	54.51	641
7372	chr1	117880404	117881842	117880404	117881842	8.75	431
7390	chr1	120012852	120013649	120012852	120013649	13.83	368
7462	chr1	144954626	144955376	144954626	144955376	36.75	921
7463	chr1	145142707	145143423	145142707	145143423	8.64	221
404	chr1	149240213	149249883	149240213	149249883	24.11	871
7448	chr1	149240213	149249881	149240213	149249881	13.71	344
7470	chr1	149891660	149892021	149891660	149892021	6.78	130
7508	chr1	153133703	153133960	153133703	153133960	51.88	1728
7527	chr1	155661229	155663356	155661229	155663356	11.67	316
7529	chr1	156526389	156529117	156526389	156529117	11.85	103
7535	chr1	157173861	157175391	157173861	157175391	18.84	786
7540	chr1	158050713	158051038	158050713	158051038	20.07	231
7558	chr1	158726920	158728009	158726920	158728009	15.76	778
7554	chr1	158961350	158966223	158961350	158966223	10.47	517
7568	chr1	159648707	159649658	159648707	159649658	68.13	2360
7569	chr1	159648758	159649623	159648758	159649623	36.53	1338
7582	chr1	160954838	160955160	160954838	160955160	15.52	298
7597	chr1	162230747	162231295	162230747	162231295	19.86	384
7627	chr1	168024558	168025732	168024558	168025732	48.18	556
7631	chr1	168427020	168428846	168427020	168428846	9.52	253
7634	chr1	169004356	169005229	169004356	169005229	8.35	412
7665	chr1	173944737	173945067	173944737	173945067	58.98	680
7675	chr1	175070798	175077818	175070798	175077818	31.8	815
7701	chr1	179455594	179458304	179455594	179458304	7.47	368
7705	chr1	179607265	179608063	179607265	179608063	31.65	1560
7712	chr1	180272306	180273838	180272306	180273838	5.23	174
7725	chr1	182952005	182952307	182952005	182952307	16.98	330
7741	chr1	185766810	185767133	185766810	185767133	14.77	170
7742	chr1	185783511	185785502	185783511	185785502	7.7	205
7751	chr1	187464746	187466829	187464746	187466829	60.18	2680
7789	chr1	189243964	189247024	189243964	189247024	5.4	139
7803	chr1	190052657	190053874	190052657	190053874	6.43	171
7826	chr1	191916440	191918546	191916440	191918546	20.71	1023
7833	chr1	192860399	192861923	192860399	192861923	12.24	314
478	chr1	194451372	194453274	194451372	194453274	10.32	159
7844	chr1	194451056	194454312	194451056	194454312	75.89	1955
7845	chr1	194451505	194453006	194451505	194453006	55.74	859
7866	chr1	196602667	196604033	196602667	196604033	6.5	173
7892	chr1	196772364	196774587	196772364	196774587	30.42	791
7899	chr1	197894023	197894310	197894023	197894310	76.84	2044
7908	chr1	198773748	198775414	198773748	198775414	29.37	1450
7913	chr1	199111886	199114019	199111886	199114019	5.56	198
7943	chr1	203684263	203686359	203684263	203686359	18.5	911
7947	chr1	203894276	203895890	203894276	203895890	9.64	247
7952	chr1	204381829	204384640	204381829	204384640	9.16	382
7958	chr1	205616177	205617145	205616177	205617145	6.09	156
7966	chr1	206814663	206815691	206814663	206815691	10.12	337
7971	chr1	207292404	207293149	207292404	207293149	61.74	3005
7975	chr1	207541844	207545792	207541844	207545792	53.24	1831
7980	chr1	207841042	207845842	207841042	207845842	6.45	166
7989	chr1	210081613	210083984	210081613	210083984	78.13	943
7998	chr1	210722460	210724880	210722460	210724880	15.59	770
8009	chr1	212471135	212472616	212471135	212472616	87.56	2351
8015	chr1	213083986	213086563	213083986	213086563	64.83	2159
8037	chr1	216231481	216232003	216231481	216232003	10.18	339
8044	chr1	217457937	217458378	217457937	217458378	26.22	898
8053	chr1	218182411	218188699	218182411	218188699	11.66	102
8055	chr1	218245626	218246489	218245626	218246489	24.09	463
8073	chr1	220502888	220503586	220502888	220503586	21.55	741
8091	chr1	222550298	222551188	222550298	222551188	11.06	294
8126	chr1	226002813	226003141	226002813	226003141	16.52	317
8137	chr1	227444951	227449317	227444951	227449317	6.35	163
8162	chr1	229373392	229373768	229373392	229373768	30.57	1048
8171	chr1	229812492	229816332	229812492	229816332	6.44	230
8173	chr1	230132738	230133976	230132738	230133976	18.89	931
8205	chr1	233962115	233963557	233962115	233963557	71.72	2346
8208	chr1	234318644	234319749	234318644	234319749	34.27	1163
8224	chr1	235254965	235256112	235254965	235256112	21.19	543
8228	chr1	235537060	235538345	235537060	235538345	16.79	559
8229	chr1	235872731	235873255	235872731	235873255	9.76	250
8237	chr1	236584118	236584880	236584118	236584880	20.99	558
8261	chr1	238852266	238856086	238852266	238856086	5.85	122
8264	chr1	238852306	238853250	238852306	238853250	67.45	777
8403	chr1	240122815	240123256	240122815	240123256	5.27	101
8366	chr1	240393940	240395143	240393940	240395143	21.23	755
8328	chr1	240392995	240394784	240392995	240394784	32.61	1405
8346	chr1	240393550	240394773	240393550	240394773	13.92	232
8361	chr1	243094525	243095715	243094525	243095715	6.83	234
8337	chr1	243127673	243129253	243127673	243129253	40.57	1390
8345	chr1	243782624	243783954	243782624	243783954	48.92	1678
8376	chr1	243782865	243783678	243782865	243783678	13.35	213
8431	chr1	246125964	246126155	246125964	246126155	12.41	238
8433	chr1	246877788	246878022	246877788	246878022	6.39	118
8430	chr1	247027878	247028188	247027878	247028188	66.29	763
8342	chr1	247231006	247232769	247231006	247232769	5.58	143
8417	chr1	247984835	247985241	247984835	247985241	8.03	154
8354	chr1	248154513	248155589	248154513	248155589	8.67	504
8390	chr1	248327651	248328277	248327651	248328277	10.17	117
8335	chr1	248755655	248758478	248755655	248758478	29.51	756
16	chr1	713039	756009	713039	756009	8.04	202
45	chr1	869420	870414	869420	870414	8.44	130
6231	chr1	869551	870311	869551	870311	18.44	277
6343	chr1	7570072	7571523	7570072	7571523	18.32	903
6377	chr1	9846031	9856674	9846031	9856674	6.37	321
6391	chr1	11060110	11062312	11060110	11062312	8.7	223
110	chr1	13176833	13182837	13176833	13182837	15.51	390
6470	chr1	16151690	16155602	16151690	16155602	23.25	1063
6473	chr1	16364770	16387794	16364770	16387794	8.71	197
6476	chr1	16376515	16386256	16376515	16386256	14.32	165
6514	chr1	16809856	16811589	16809856	16811589	9.55	247
6512	chr1	17009445	17012777	17009445	17012777	15.06	519
141	chr1	17208616	17225383	17208616	17225383	13.33	1834
144	chr1	17238417	17266696	17238417	17266696	13.46	1853
6561	chr1	22313123	22335712	22313123	22335712	5.44	207
6588	chr1	25158495	25161653	25158495	25161653	11.54	104
6603	chr1	26459772	26464665	26459772	26464665	11.64	694
6866	chr1	59059615	59059941	59059615	59059941	17.86	343
6870	chr1	60044002	60058289	60044002	60058289	6.02	163
6871	chr1	60046731	60052368	60046731	60052368	9.03	301
6875	chr1	60048681	60049825	60048681	60049825	8.72	291
6883	chr1	62113387	62119521	62113387	62119521	12.35	807
6903	chr1	64839912	64851868	64839912	64851868	5.45	142
6912	chr1	66024156	66030322	66024156	66030322	17.76	341
6954	chr1	71237361	71240330	71237361	71240330	7.79	267
6965	chr1	72449619	72450028	72449619	72450028	25.55	876
6976	chr1	72754739	72764388	72754739	72764388	7.91	649
6977	chr1	72756067	72762960	72756067	72762960	7.33	174
7022	chr1	78649151	78654105	78649151	78654105	13.58	452
7023	chr1	78649193	78651590	78649193	78651590	6.46	231
7050	chr1	81404794	81413939	81404794	81413939	24.45	258
7078	chr1	84517857	84524769	84517857	84524769	73.09	2507
7140	chr1	94288371	94291259	94288371	94291259	33.97	1679
7162	chr1	99179942	99180049	99179942	99180049	5.27	101
7246	chr1	106013640	106022799	106013640	106022799	28.33	1701
7248	chr1	106018005	106022541	106018005	106022541	27.35	1364
7285	chr1	109366980	109371992	109366980	109371992	5.25	284
7306	chr1	110186897	110191614	110186897	110191614	62.66	2171
271	chr1	110219461	110242962	110219461	110242962	11.77	1737
7302	chr1	110222723	110245460	110222723	110245460	6.1	819
7303	chr1	110225022	110245322	110225022	110245322	21.2	3262
7305	chr1	110229996	110241225	110229996	110241225	15.4	2290
7319	chr1	111376750	111392646	111376750	111392646	10.79	2087
7344	chr1	113529220	113532708	113529220	113532708	6.32	162
7342	chr1	114039826	114045877	114039826	114045877	22.29	428
7364	chr1	116229554	116232881	116229554	116232881	27.89	1362
369	chr1	144913707	144951388	144913707	144951388	74.31	2517
383	chr1	149015483	149036608	149015483	149036608	98.77	2483
366	chr1	149249381	149284851	149249381	149284851	18.13	2495
403	chr1	149231192	149241215	149231192	149241215	98.64	2471
7446	chr1	149207851	149218151	149207851	149218151	17.96	467
7452	chr1	149226620	149230843	149226620	149230843	20.44	512
7455	chr1	149328930	149332759	149328930	149332759	9.23	302
7437	chr1	149514223	149592330	149514223	149592330	98.76	2475
416	chr1	152549985	152588089	152549985	152588089	14.19	1982
7496	chr1	152555127	152591098	152555127	152591098	37.02	6598
7498	chr1	152554926	152575348	152554926	152575348	7.35	829
425	chr1	152761495	152773537	152761495	152773537	5.05	692
7502	chr1	152759898	152770401	152759898	152770401	8.26	1545
7526	chr1	155659562	155664375	155659562	155664375	13.93	635
7555	chr1	158867463	158870341	158867463	158870341	61.53	3745
446	chr1	161410297	161442471	161410297	161442471	23.94	498
7593	chr1	161570323	161598180	161570323	161598180	8.84	354
449	chr1	166183240	166196377	166183240	166196377	5.07	188
7639	chr1	169225016	169245592	169225016	169245592	29.39	1016
7641	chr1	169225666	169243157	169225666	169243157	18.54	743
7642	chr1	169234090	169241924	169234090	169241924	7.82	225
7700	chr1	179329927	179333716	179329927	179333716	11.26	688
7734	chr1	185009805	185011736	185009805	185011736	11.74	580
7755	chr1	187715963	187723577	187715963	187723577	17.45	860
7757	chr1	187716140	187722084	187716140	187722084	17.44	622
7764	chr1	188539453	188540229	188539453	188540229	100	4455
7818	chr1	191716932	191726618	191716932	191726618	10.58	524
7825	chr1	191915540	191919309	191915540	191919309	5.91	151
7841	chr1	194060070	194060239	194060070	194060239	26.21	503
7879	chr1	196736214	196765620	196736214	196765620	7.86	1287
7889	chr1	196735099	196744938	196735099	196744938	7.84	1233
7903	chr1	198304606	198310290	198304606	198310290	9.74	566
7904	chr1	198305141	198310680	198305141	198310680	5.91	217
7911	chr1	199110049	199113807	199110049	199113807	18.85	929
7946	chr1	203887550	203889881	203887550	203889881	10.16	270
7988	chr1	210077864	210086001	210077864	210086001	48.8	2236
8002	chr1	211369256	211370440	211369256	211370440	5.26	135
8086	chr1	222374158	222380582	222374158	222380582	27.21	1349
8168	chr1	229810014	229822104	229810014	229822104	24.07	1405
8169	chr1	229812483	229818550	229812483	229818550	13.76	212
8170	chr1	229815540	229820386	229815540	229820386	21.54	583
8192	chr1	232458572	232460295	232458572	232460295	27.69	1375
8231	chr1	236548997	236551425	236548997	236551425	73.42	2519
8319	chr1	241518946	241521606	241518946	241521606	13.26	140
560	chr1	246138227	246140393	246138227	246140393	23.61	488
8304	chr1	247849438	247858622	247849438	247858622	51.69	1007
578	chr1	248617331	248634905	248617331	248634905	19.5	799
8306	chr1	248622713	248629862	248622713	248629862	5.35	157
8280	chr1	248732813	248797091	248732813	248797091	14.46	2500
8302	chr1	248867047	248876854	248867047	248876854	9.56	508
8349	chr1	248839453	248841008	248839453	248841008	69.37	2310
8428	chr1	248849860	248850138	248849860	248850138	7.41	135
101	chr1	12897609	12922238	12897609	12922238	15.98	404
6411	chr1	12886641	12942069	12886641	12942069	6.52	242
6419	chr1	12899395	12924283	12899395	12924283	9.27	371
6409	chr1	13692847	13774442	13692847	13774442	35.51	375
129	chr1	17188030	17263282	17188030	17263282	10.85	1357
6559	chr1	22293885	22342339	22293885	22342339	5.07	228
6587	chr1	24895796	24900780	24895796	24900780	5.54	142
163	chr1	25581732	25658765	25581732	25658765	6.51	1142
6591	chr1	25588503	25670674	25588503	25670674	15.25	2600
207	chr1	72752120	72811815	72752120	72811815	14.73	2186
6970	chr1	72754437	72810928	72754437	72810928	42.72	8313
215	chr1	83802483	83978943	83802483	83978943	100	2514
7333	chr1	112691737	112704757	112691737	112704757	10.36	1713
7351	chr1	113799625	113800089	113799625	113800089	70.55	2419
291	chr1	121171923	121350989	121171923	121350989	16.19	2548
7408	chr1	143663045	143726092	143663045	143726092	7.12	182
360	chr1	145120396	145182241	145120396	145182241	100	2514
7435	chr1	147856152	147913592	147856152	147913592	48.39	511
342	chr1	148832247	148954132	148832247	148954132	100	2505
359	chr1	149289466	149358386	149289466	149358386	98.69	2481
7439	chr1	149152064	149204067	149152064	149204067	11.96	479
443	chr1	161488372	161659238	161488372	161659238	5.05	732
7671	chr1	174796497	174801836	174796497	174801836	8.9	717
7672	chr1	174797754	174802590	174797754	174802590	6.28	149
482	chr1	196704080	196819917	196704080	196819917	5.23	650
7869	chr1	196711400	196820800	196711400	196820800	12.45	2317
7896	chr1	197500348	197503554	197500348	197503554	11.86	104
509	chr1	207697466	207748433	207697466	207748433	17.76	523
7978	chr1	207699584	207737992	207699584	207737992	18.13	626
8031	chr1	215492422	215501001	215492422	215501001	5.62	282
8118	chr1	225133631	225248662	225133631	225248662	19.11	220
8275	chr1	248733063	248813627	248733063	248813627	8.52	1257
8283	chr1	248756880	248797809	248756880	248797809	5.47	834
216	chr1	85973271	86005846	85973271	86005846	99.84	2516
262	chr1	108917312	109000328	108917312	109000328	19.28	405
337	chr1	143984598	144094724	143984598	144094724	99.68	2497
7419	chr1	148945333	149232544	148945333	149232544	13.44	2185
7840	chr1	193999052	194000219	193999052	194000219	6.22	213
6723	chr1	39998250	40001291	39998250	40001291	10.74	358
8534	chr10	2379470	2379797	2379470	2379797	52.3	603
8540	chr10	2543504	2543743	2543504	2543743	10.15	185
8614	chr10	6169496	6169683	6169496	6169683	14.07	270
8658	chr10	10493408	10493731	10493408	10493731	55.82	643
8672	chr10	11945430	11945770	11945430	11945770	5.99	115
8683	chr10	12596187	12596574	12596187	12596574	33.08	1134
8722	chr10	16025145	16025475	16025145	16025475	5.79	111
8744	chr10	19030336	19030576	19030336	19030576	12.88	136
8763	chr10	19504656	19504798	19504656	19504798	8.8	171
8768	chr10	20824450	20824567	20824450	20824567	6.42	117
8785	chr10	23635492	23635622	23635492	23635622	18.05	617
8806	chr10	25492524	25492951	25492524	25492951	9.93	181
8807	chr10	25638225	25638833	25638225	25638833	13.9	480
8852	chr10	29712144	29712720	29712144	29712720	33.78	657
8895	chr10	33492639	33492929	33492639	33492929	16.88	328
8901	chr10	34684468	34684793	34684468	34684793	68.39	805
8981	chr10	43274199	43274532	43274199	43274532	38.09	732
9002	chr10	45158135	45158436	45158135	45158436	32.29	372
9086	chr10	47036093	47036306	47036093	47036306	10.95	210
9089	chr10	50543500	50543654	50543500	50543654	7.46	136
9096	chr10	53578469	53578799	53578469	53578799	20.26	389
9162	chr10	55086500	55086727	55086500	55086727	17.05	184
9161	chr10	55958255	55958546	55958255	55958546	33.71	388
9160	chr10	56517027	56517340	56517027	56517340	51.53	606
9174	chr10	58863546	58863866	58863546	58863866	12.2	234
9251	chr10	67343454	67343955	67343454	67343955	6.3	146
9333	chr10	73256581	73256701	73256581	73256701	25.37	493
9401	chr10	82904659	82904913	82904659	82904913	74.73	1916
9486	chr10	92815382	92815704	92815382	92815704	11.73	225
9496	chr10	93634028	93634625	93634028	93634625	22.68	347
9514	chr10	96251540	96251717	96251540	96251717	12.88	247
9531	chr10	98537147	98537455	98537147	98537455	12.16	140
9543	chr10	100025123	100025461	100025123	100025461	36.58	1253
9592	chr10	107677542	107677868	107677542	107677868	21.67	416
9657	chr10	119219111	119219451	119219111	119219451	5.42	104
9659	chr10	119330248	119330432	119330248	119330432	30.66	588
9663	chr10	119979190	119979505	119979190	119979505	20.5	236
9684	chr10	122118131	122118361	122118131	122118361	10.17	195
9691	chr10	122701142	122701437	122701142	122701437	64.05	1682
9748	chr10	129744649	129744864	129744649	129744864	12.9	235
9750	chr10	129935564	129935877	129935564	129935877	17.44	318
9752	chr10	129946563	129946884	129946563	129946884	16.79	306
9765	chr10	131595172	131595472	131595172	131595472	51.96	1352
9782	chr10	132372179	132372324	132372179	132372324	24.3	472
9807	chr10	133142553	133142848	133142553	133142848	18.09	347
9853	chr10	134335450	134335717	134335450	134335717	15.73	181
9896	chr10	134977410	134977626	134977410	134977626	19.97	230
9903	chr10	135035312	135035481	135035312	135035481	22.92	242
8456	chr10	413874	414166	413874	414166	12.72	235
8498	chr10	1451788	1452459	1451788	1452459	18.34	352
8535	chr10	2538237	2539399	2538237	2539399	6.55	218
598	chr10	3127046	3128011	3127046	3128011	8.57	132
601	chr10	4290173	4291552	4290173	4291552	13.84	493
8606	chr10	5891457	5892373	5891457	5892373	11.01	392
8619	chr10	6411402	6417770	6411402	6417770	49.95	961
8628	chr10	7077040	7078302	7077040	7078302	28.45	1404
8636	chr10	7995820	7997078	7995820	7997078	18.84	918
8640	chr10	8781977	8782307	8781977	8782307	30.97	595
8663	chr10	10980943	10981246	10980943	10981246	18.37	194
8696	chr10	13258020	13258333	13258020	13258333	53.51	617
8729	chr10	17310708	17315527	17310708	17315527	9.88	488
8734	chr10	18503073	18503589	18503073	18503589	60.88	2101
8754	chr10	19996546	19998129	19996546	19998129	47.15	1845
8762	chr10	20477945	20478123	20477945	20478123	9.82	179
8772	chr10	20850228	20856037	20850228	20856037	9.46	254
8782	chr10	23015561	23016756	23015561	23016756	10.02	257
8793	chr10	24376837	24378444	24376837	24378444	27.52	943
8794	chr10	24377673	24379024	24377673	24379024	5.42	122
8813	chr10	26354753	26355098	26354753	26355098	17.29	332
8827	chr10	27001269	27001814	27001269	27001814	45.75	700
631	chr10	27224672	27229473	27224672	27229473	8.09	300
8838	chr10	27224103	27228200	27224103	27228200	16	539
8853	chr10	28650520	28651029	28650520	28651029	9.22	168
8842	chr10	28661762	28665290	28661762	28665290	9.47	101
8847	chr10	28663821	28665101	28663821	28665101	20.87	870
8854	chr10	29110717	29111235	29110717	29111235	5.18	100
8864	chr10	29742221	29742944	29742221	29742944	7.35	252
8866	chr10	29918525	29918995	29918525	29918995	11.17	372
639	chr10	31443622	31444774	31443622	31444774	8.96	138
8875	chr10	31443352	31444866	31443352	31444866	42.65	1462
8876	chr10	31443538	31444770	31443538	31444770	45.21	722
8877	chr10	31443803	31444139	31443803	31444139	34.94	1399
8889	chr10	32988391	32989349	32988391	32989349	9.84	252
8919	chr10	36411867	36412188	36411867	36412188	13.71	263
9075	chr10	51516720	51518224	51516720	51518224	8.91	237
9104	chr10	54015777	54018108	54015777	54018108	23.91	1181
9152	chr10	55893656	55894113	55893656	55894113	41.94	1437
9144	chr10	56682777	56684358	56682777	56684358	18.56	915
9183	chr10	59256852	59258099	59256852	59258099	94.09	2358
9184	chr10	59296693	59297011	59296693	59297011	14.39	276
9195	chr10	61361932	61365005	61361932	61365005	9.64	521
