sample	variable	value	status
MMRF_1309_1_BM	chr_1p	0	normal
MMRF_1311_1_BM	chr_1p	0	normal
MMRF_1318_1_BM	chr_1p	-0.20471596998928188	subclonal_minor
MMRF_1323_1_BM	chr_1p	0	normal
MMRF_1324_1_BM	chr_1p	0	normal
MMRF_1325_1_BM	chr_1p	0	normal
MMRF_1327_1_BM	chr_1p	-0.09860664523043944	normal
MMRF_1328_1_BM	chr_1p	0	normal
MMRF_1331_1_BM	chr_1p	0	normal
MMRF_1332_1_BM	chr_1p	0	normal
MMRF_1338_1_BM	chr_1p	0	normal
MMRF_1339_1_BM	chr_1p	0	normal
MMRF_1342_1_BM	chr_1p	0	normal
MMRF_1344_1_BM	chr_1p	0	normal
MMRF_1348_1_BM	chr_1p	-0.3858520900321543	subclonal_minor
MMRF_1349_1_BM	chr_1p	-0.112540192926045	subclonal_minor
MMRF_1352_1_BM	chr_1p	0	normal
MMRF_1354_1_BM	chr_1p	0	normal
MMRF_1356_1_BM	chr_1p	0	normal
MMRF_1358_1_BM	chr_1p	0	normal
MMRF_1359_1_BM	chr_1p	0	normal
MMRF_1360_1_BM	chr_1p	0	normal
MMRF_1361_1_BM	chr_1p	0	normal
MMRF_1364_1_BM	chr_1p	-1.085744908896034	clonal
MMRF_1365_1_BM	chr_1p	0	normal
MMRF_1371_1_BM	chr_1p	0	normal
MMRF_1377_1_BM	chr_1p	-0.9292604501607716	clonal
MMRF_1380_1_BM	chr_1p	0	normal
MMRF_1383_1_BM	chr_1p	0.8263665594855305	subclonal_major
MMRF_1386_1_BM	chr_1p	0	normal
MMRF_1388_1_BM	chr_1p	0.9871382636655949	clonal
MMRF_1389_1_BM	chr_1p	0	normal
MMRF_1391_1_BM	chr_1p	0	normal
MMRF_1392_1_BM	chr_1p	0	normal
MMRF_1393_1_BM	chr_1p	0	normal
MMRF_1395_1_BM	chr_1p	0	normal
MMRF_1401_1_BM	chr_1p	0	normal
MMRF_1403_1_BM	chr_1p	0	normal
MMRF_1408_1_BM	chr_1p	0	normal
MMRF_1413_1_BM	chr_1p	1.0568060021436227	clonal
MMRF_1423_1_BM	chr_1p	0	normal
MMRF_1424_1_BM	chr_1p	0	normal
MMRF_1425_1_BM	chr_1p	-0.11039657020364414	subclonal_minor
MMRF_1426_1_BM	chr_1p	0	normal
MMRF_1431_1_BM	chr_1p	0	normal
MMRF_1432_1_BM	chr_1p	0	normal
MMRF_1433_1_BM	chr_1p	1.0364415862808145	clonal
MMRF_1434_1_BM	chr_1p	0	normal
MMRF_1436_1_BM	chr_1p	0	normal
MMRF_1439_1_BM	chr_1p	0	normal
MMRF_1445_1_BM	chr_1p	0	normal
MMRF_1446_1_BM	chr_1p	0	normal
MMRF_1447_1_BM	chr_1p	0	normal
MMRF_1450_1_BM	chr_1p	0	normal
MMRF_1451_1_BM	chr_1p	0	normal
MMRF_1453_1_BM	chr_1p	-0.48981779206859594	subclonal_minor
MMRF_1454_1_BM	chr_1p	0.2647374062165059	subclonal_minor
MMRF_1460_1_BM	chr_1p	-0.6966773847802786	subclonal_major
MMRF_1461_1_BM	chr_1p	0.9646302250803859	clonal
MMRF_1462_1_BM	chr_1p	-0.1382636655948553	subclonal_minor
MMRF_1466_1_BM	chr_1p	0	normal
MMRF_1474_1_BM	chr_1p	0	normal
MMRF_1484_1_BM	chr_1p	0	normal
MMRF_1485_1_BM	chr_1p	0	normal
MMRF_1486_1_BM	chr_1p	0	normal
MMRF_1489_1_BM	chr_1p	-0.12433011789924973	subclonal_minor
MMRF_1491_1_BM	chr_1p	-0.510182207931404	subclonal_major
MMRF_1497_1_BM	chr_1p	0	normal
MMRF_1499_1_BM	chr_1p	-0.9314040728831725	clonal
MMRF_1501_1_BM	chr_1p	0	normal
MMRF_1502_1_BM	chr_1p	0	normal
MMRF_1505_1_BM	chr_1p	0	normal
MMRF_1506_1_BM	chr_1p	-1.0621650589496248	clonal
MMRF_1510_1_BM	chr_1p	0	normal
MMRF_1511_1_BM	chr_1p	0	normal
MMRF_1512_1_BM	chr_1p	0	normal
MMRF_1516_1_BM	chr_1p	0	normal
MMRF_1519_1_BM	chr_1p	0.9903536977491961	clonal
MMRF_1522_1_BM	chr_1p	0	normal
MMRF_1523_1_BM	chr_1p	0	normal
MMRF_1525_1_BM	chr_1p	0	normal
MMRF_1531_1_BM	chr_1p	0	normal
MMRF_1533_1_BM	chr_1p	0	normal
MMRF_1534_1_BM	chr_1p	0	normal
MMRF_1535_1_BM	chr_1p	-0.15648445873526257	subclonal_minor
MMRF_1537_1_BM	chr_1p	-0.17256162915326903	subclonal_minor
MMRF_1538_1_BM	chr_1p	0	normal
MMRF_1539_1_BM	chr_1p	0	normal
MMRF_1540_1_BM	chr_1p	0	normal
MMRF_1541_1_BM	chr_1p	0	normal
MMRF_1542_1_BM	chr_1p	-0.11361200428724544	subclonal_minor
MMRF_1543_1_BM	chr_1p	1.060021436227224	clonal
MMRF_1546_1_BM	chr_1p	0	normal
MMRF_1547_1_BM	chr_1p	0	normal
MMRF_1550_1_BM	chr_1p	0	normal
MMRF_1555_1_BM	chr_1p	0	normal
MMRF_1556_1_BM	chr_1p	0	normal
MMRF_1560_1_BM	chr_1p	0	normal
MMRF_1564_1_BM	chr_1p	0	normal
MMRF_1565_1_BM	chr_1p	0	normal
MMRF_1568_1_BM	chr_1p	0	normal
MMRF_1570_1_BM	chr_1p	0	normal
MMRF_1572_1_BM	chr_1p	0	normal
MMRF_1573_1_BM	chr_1p	0	normal
MMRF_1574_1_BM	chr_1p	0	normal
MMRF_1576_1_BM	chr_1p	-0.9271168274383708	clonal
MMRF_1577_1_BM	chr_1p	0	normal
MMRF_1579_1_BM	chr_1p	0	normal
MMRF_1580_1_BM	chr_1p	0	normal
MMRF_1583_1_BM	chr_1p	0	normal
MMRF_1586_1_BM	chr_1p	0	normal
MMRF_1587_1_BM	chr_1p	0	normal
MMRF_1588_1_BM	chr_1p	-0.15541264737406216	subclonal_minor
MMRF_1589_1_BM	chr_1p	0	normal
MMRF_1593_1_BM	chr_1p	-0.622722400857449	subclonal_major
MMRF_1595_1_BM	chr_1p	0	normal
MMRF_1596_1_BM	chr_1p	-1.1296891747052518	clonal
MMRF_1597_1_BM	chr_1p	0	normal
MMRF_1598_1_BM	chr_1p	0	normal
MMRF_1601_1_BM	chr_1p	0	normal
MMRF_1602_1_BM	chr_1p	0	normal
MMRF_1603_1_BM	chr_1p	0	normal
MMRF_1605_1_BM	chr_1p	0	normal
MMRF_1607_1_BM	chr_1p	0	normal
MMRF_1608_1_BM	chr_1p	0	normal
MMRF_1610_1_BM	chr_1p	0	normal
MMRF_1613_1_BM	chr_1p	0	normal
MMRF_1614_1_BM	chr_1p	0	normal
MMRF_1617_1_BM	chr_1p	0	normal
MMRF_1618_1_BM	chr_1p	0	normal
MMRF_1621_1_BM	chr_1p	0	normal
MMRF_1622_1_BM	chr_1p	0	normal
MMRF_1624_1_BM	chr_1p	0	normal
MMRF_1625_1_BM	chr_1p	1.0900321543408358	clonal
MMRF_1627_1_BM	chr_1p	0	normal
MMRF_1628_1_BM	chr_1p	0	normal
MMRF_1629_1_BM	chr_1p	0	normal
MMRF_1630_1_BM	chr_1p	0	normal
MMRF_1633_1_BM	chr_1p	-0.864951768488746	subclonal_major
MMRF_1634_1_BM	chr_1p	0	normal
MMRF_1637_1_BM	chr_1p	0	normal
MMRF_1639_1_BM	chr_1p	0	normal
MMRF_1640_1_BM	chr_1p	0.8585209003215434	subclonal_major
MMRF_1641_1_BM	chr_1p	0	normal
MMRF_1642_1_BM	chr_1p	0.7770632368703108	subclonal_major
MMRF_1643_1_BM	chr_1p	0	normal
MMRF_1644_1_BM	chr_1p	0	normal
MMRF_1645_1_BM	chr_1p	0	normal
MMRF_1646_1_BM	chr_1p	0	normal
MMRF_1647_1_BM	chr_1p	0	normal
MMRF_1648_1_BM	chr_1p	0.9560557341907824	clonal
MMRF_1650_1_BM	chr_1p	0	normal
MMRF_1651_1_BM	chr_1p	0	normal
MMRF_1652_1_BM	chr_1p	0	normal
MMRF_1654_1_BM	chr_1p	0	normal
MMRF_1655_1_BM	chr_1p	0	normal
MMRF_1656_1_BM	chr_1p	0.8392282958199356	subclonal_major
MMRF_1659_1_BM	chr_1p	-0.1639871382636656	subclonal_minor
MMRF_1664_1_BM	chr_1p	0	normal
MMRF_1665_1_BM	chr_1p	0	normal
MMRF_1667_1_BM	chr_1p	0	normal
MMRF_1668_1_BM	chr_1p	-0.43515541264737406	subclonal_minor
MMRF_1670_1_BM	chr_1p	0	normal
MMRF_1671_1_BM	chr_1p	0	normal
MMRF_1672_1_BM	chr_1p	0	normal
MMRF_1674_1_BM	chr_1p	0	normal
MMRF_1676_1_BM	chr_1p	0	normal
MMRF_1677_1_BM	chr_1p	0	normal
MMRF_1678_1_BM	chr_1p	0	normal
MMRF_1680_1_BM	chr_1p	0	normal
MMRF_1682_1_BM	chr_1p	0	normal
MMRF_1683_1_BM	chr_1p	0	normal
MMRF_1686_1_BM	chr_1p	0	normal
MMRF_1687_1_BM	chr_1p	0	normal
MMRF_1689_1_BM	chr_1p	0	normal
MMRF_1690_1_BM	chr_1p	0	normal
MMRF_1694_1_BM	chr_1p	0	normal
MMRF_1695_1_BM	chr_1p	0	normal
MMRF_1698_1_BM	chr_1p	0	normal
MMRF_1700_1_BM	chr_1p	0	normal
MMRF_1705_1_BM	chr_1p	0	normal
MMRF_1706_1_BM	chr_1p	0	normal
MMRF_1710_1_BM	chr_1p	0	normal
MMRF_1713_1_BM	chr_1p	0	normal
MMRF_1714_1_BM	chr_1p	0	normal
MMRF_1715_1_BM	chr_1p	0	normal
MMRF_1716_1_BM	chr_1p	0	normal
MMRF_1718_1_BM	chr_1p	0	normal
MMRF_1719_1_BM	chr_1p	-0.12647374062165057	subclonal_minor
MMRF_1720_1_BM	chr_1p	0	normal
MMRF_1721_1_BM	chr_1p	0	normal
MMRF_1722_1_BM	chr_1p	0	normal
MMRF_1723_1_BM	chr_1p	0	normal
MMRF_1725_1_BM	chr_1p	0	normal
MMRF_1726_1_BM	chr_1p	0	normal
MMRF_1727_1_BM	chr_1p	1.0117899249732045	clonal
MMRF_1730_1_BM	chr_1p	0	normal
MMRF_1733_1_BM	chr_1p	0	normal
MMRF_1735_1_BM	chr_1p	0	normal
MMRF_1736_1_BM	chr_1p	0	normal
MMRF_1738_1_BM	chr_1p	0	normal
MMRF_1739_1_BM	chr_1p	0	normal
MMRF_1740_1_BM	chr_1p	0.9356913183279743	clonal
MMRF_1744_1_BM	chr_1p	0	normal
MMRF_1746_1_BM	chr_1p	0	normal
MMRF_1750_1_BM	chr_1p	0	normal
MMRF_1753_1_BM	chr_1p	0	normal
MMRF_1755_1_BM	chr_1p	0	normal
MMRF_1758_1_BM	chr_1p	0.4458735262593783	subclonal_minor
MMRF_1759_1_BM	chr_1p	0	normal
MMRF_1760_1_BM	chr_1p	0	normal
MMRF_1761_1_BM	chr_1p	0	normal
MMRF_1763_1_BM	chr_1p	-0.8992497320471596	subclonal_major
MMRF_1766_1_BM	chr_1p	0	normal
MMRF_1768_1_BM	chr_1p	0	normal
MMRF_1771_1_BM	chr_1p	0	normal
MMRF_1772_1_BM	chr_1p	-0.2936763129689175	subclonal_minor
MMRF_1773_1_BM	chr_1p	0	normal
MMRF_1774_1_BM	chr_1p	0	normal
MMRF_1775_1_BM	chr_1p	0	normal
MMRF_1777_1_BM	chr_1p	0	normal
MMRF_1778_1_BM	chr_1p	0.9796355841371919	clonal
MMRF_1780_1_BM	chr_1p	0	normal
MMRF_1781_1_BM	chr_1p	0	normal
MMRF_1782_1_BM	chr_1p	0	normal
MMRF_1783_1_BM	chr_1p	0	normal
MMRF_1784_1_BM	chr_1p	-0.12861736334405144	subclonal_minor
MMRF_1785_1_BM	chr_1p	0	normal
MMRF_1786_1_BM	chr_1p	0	normal
MMRF_1787_1_BM	chr_1p	0	normal
MMRF_1790_1_BM	chr_1p	0	normal
MMRF_1792_1_BM	chr_1p	0	normal
MMRF_1793_1_BM	chr_1p	0	normal
MMRF_1794_1_BM	chr_1p	0	normal
MMRF_1795_1_BM	chr_1p	0	normal
MMRF_1796_1_BM	chr_1p	0	normal
MMRF_1797_1_BM	chr_1p	1.027867095391211	clonal
MMRF_1801_1_BM	chr_1p	0	normal
MMRF_1802_1_BM	chr_1p	0	normal
MMRF_1803_1_BM	chr_1p	0	normal
MMRF_1805_1_BM	chr_1p	0	normal
MMRF_1808_1_BM	chr_1p	0	normal
MMRF_1810_1_BM	chr_1p	0	normal
MMRF_1814_1_BM	chr_1p	0	normal
MMRF_1815_1_BM	chr_1p	0.84994640943194	subclonal_major
MMRF_1816_1_BM	chr_1p	1.7309753483386923	clonal
MMRF_1817_1_BM	chr_1p	0	normal
MMRF_1819_1_BM	chr_1p	0	normal
MMRF_1820_1_BM	chr_1p	0	normal
MMRF_1822_1_BM	chr_1p	0	normal
MMRF_1823_1_BM	chr_1p	0	normal
MMRF_1824_1_BM	chr_1p	0.6688102893890675	subclonal_major
MMRF_1825_1_BM	chr_1p	0	normal
MMRF_1830_1_BM	chr_1p	1.2679528403001072	clonal
MMRF_1831_1_BM	chr_1p	-0.9346195069667738	clonal
MMRF_1832_1_BM	chr_1p	0	normal
MMRF_1833_1_BM	chr_1p	0.9281886387995713	clonal
MMRF_1834_1_BM	chr_1p	0	normal
MMRF_1835_1_BM	chr_1p	0.12861736334405144	subclonal_minor
MMRF_1837_1_BM	chr_1p	0	normal
MMRF_1838_1_BM	chr_1p	0	normal
MMRF_1839_1_BM	chr_1p	-0.7363344051446945	subclonal_major
MMRF_1841_1_BM	chr_1p	0	normal
MMRF_1842_1_BM	chr_1p	0	normal
MMRF_1845_1_BM	chr_1p	0.9346195069667738	clonal
MMRF_1846_1_BM	chr_1p	0	normal
MMRF_1847_1_BM	chr_1p	0	normal
MMRF_1850_1_BM	chr_1p	0	normal
MMRF_1851_1_BM	chr_1p	0	normal
MMRF_1854_1_BM	chr_1p	-0.14040728831725616	subclonal_minor
MMRF_1855_1_BM	chr_1p	0.7331189710610932	subclonal_major
MMRF_1856_1_BM	chr_1p	0	normal
MMRF_1858_1_BM	chr_1p	-0.9871382636655949	clonal
MMRF_1859_1_BM	chr_1p	-0.5787781350482315	subclonal_major
MMRF_1860_1_BM	chr_1p	0	normal
MMRF_1861_1_BM	chr_1p	0	normal
MMRF_1862_1_BM	chr_1p	0	normal
MMRF_1865_1_BM	chr_1p	0	normal
MMRF_1866_1_BM	chr_1p	0	normal
MMRF_1867_1_BM	chr_1p	0	normal
MMRF_1871_1_BM	chr_1p	0	normal
MMRF_1873_1_BM	chr_1p	0	normal
MMRF_1876_1_BM	chr_1p	0	normal
MMRF_1879_1_BM	chr_1p	0	normal
MMRF_1880_1_BM	chr_1p	0	normal
MMRF_1881_1_BM	chr_1p	0	normal
MMRF_1882_1_BM	chr_1p	0	normal
MMRF_1886_1_BM	chr_1p	-0.9807073954983923	clonal
MMRF_1888_1_BM	chr_1p	0	normal
MMRF_1890_1_BM	chr_1p	-0.14040728831725616	subclonal_minor
MMRF_1891_1_BM	chr_1p	0	normal
MMRF_1893_1_BM	chr_1p	-0.12433011789924973	subclonal_minor
MMRF_1895_1_BM	chr_1p	0	normal
MMRF_1900_1_BM	chr_1p	0	normal
MMRF_1906_1_BM	chr_1p	0	normal
MMRF_1908_1_BM	chr_1p	0.004287245444801715	normal
MMRF_1911_1_BM	chr_1p	0	normal
MMRF_1915_1_BM	chr_1p	-0.46623794212218644	subclonal_minor
MMRF_1916_1_BM	chr_1p	0	normal
MMRF_1917_1_BM	chr_1p	0	normal
MMRF_1918_1_BM	chr_1p	0	normal
MMRF_1921_1_BM	chr_1p	0	normal
MMRF_1922_1_BM	chr_1p	-0.36441586280814575	subclonal_minor
MMRF_1927_1_BM	chr_1p	0	normal
MMRF_1928_1_BM	chr_1p	0	normal
MMRF_1929_1_BM	chr_1p	0	normal
MMRF_1930_1_BM	chr_1p	0	normal
MMRF_1931_1_BM	chr_1p	0.8745980707395498	subclonal_major
MMRF_1932_1_BM	chr_1p	-1.0032154340836013	clonal
MMRF_1940_1_BM	chr_1p	0	normal
MMRF_1955_1_BM	chr_1p	0	normal
MMRF_1957_1_BM	chr_1p	0	normal
MMRF_1960_1_BM	chr_1p	0	normal
MMRF_1963_1_BM	chr_1p	-1.0182207931404073	clonal
MMRF_1965_1_BM	chr_1p	0	normal
MMRF_1967_1_BM	chr_1p	0	normal
MMRF_1970_1_BM	chr_1p	0	normal
MMRF_1971_1_BM	chr_1p	0	normal
MMRF_1972_1_BM	chr_1p	-0.15326902465166128	subclonal_minor
MMRF_1977_1_BM	chr_1p	0	normal
MMRF_1978_1_BM	chr_1p	0	normal
MMRF_1981_1_BM	chr_1p	0	normal
MMRF_1982_1_BM	chr_1p	0	normal
MMRF_1985_1_BM	chr_1p	0	normal
MMRF_1986_1_BM	chr_1p	0	normal
MMRF_1988_1_BM	chr_1p	-0.1157556270096463	subclonal_minor
MMRF_1991_1_BM	chr_1p	0	normal
MMRF_1992_1_BM	chr_1p	0	normal
MMRF_1994_1_BM	chr_1p	0	normal
MMRF_1995_1_BM	chr_1p	0	normal
MMRF_1997_1_BM	chr_1p	0	normal
MMRF_1998_1_BM	chr_1p	1.0075026795284028	clonal
MMRF_1999_1_BM	chr_1p	0	normal
MMRF_2000_1_BM	chr_1p	0	normal
MMRF_2001_1_BM	chr_1p	0	normal
MMRF_2002_1_BM	chr_1p	0	normal
MMRF_2005_1_BM	chr_1p	0	normal
MMRF_2006_1_BM	chr_1p	0	normal
MMRF_2007_1_BM	chr_1p	0	normal
MMRF_2012_1_BM	chr_1p	0	normal
MMRF_2013_1_BM	chr_1p	-0.2861736334405145	subclonal_minor
MMRF_2014_1_BM	chr_1p	0	normal
MMRF_2015_1_BM	chr_1p	0.1682743837084673	subclonal_minor
MMRF_2016_1_BM	chr_1p	0	normal
MMRF_2017_1_BM	chr_1p	0	normal
MMRF_2018_1_BM	chr_1p	0	normal
MMRF_2024_1_BM	chr_1p	0	normal
MMRF_2026_1_BM	chr_1p	0	normal
MMRF_2035_1_BM	chr_1p	0	normal
MMRF_2038_1_BM	chr_1p	0	normal
MMRF_2039_1_BM	chr_1p	1.0107181136120043	clonal
MMRF_2041_1_BM	chr_1p	0	normal
MMRF_2043_1_BM	chr_1p	0	normal
MMRF_2047_1_BM	chr_1p	0	normal
MMRF_2050_1_BM	chr_1p	0	normal
MMRF_2054_1_BM	chr_1p	0	normal
MMRF_2055_1_BM	chr_1p	0.19614147909967844	subclonal_minor
MMRF_2056_1_BM	chr_1p	0	normal
MMRF_2057_1_BM	chr_1p	0	normal
MMRF_2058_1_BM	chr_1p	0	normal
MMRF_2059_1_BM	chr_1p	0	normal
MMRF_2061_1_BM	chr_1p	0	normal
MMRF_2062_1_BM	chr_1p	0	normal
MMRF_2063_1_BM	chr_1p	0	normal
MMRF_2068_1_BM	chr_1p	0	normal
MMRF_2072_1_BM	chr_1p	-0.3847802786709539	subclonal_minor
MMRF_2074_1_BM	chr_1p	0	normal
MMRF_2076_1_BM	chr_1p	0	normal
MMRF_2079_1_BM	chr_1p	0	normal
MMRF_2080_1_BM	chr_1p	0	normal
MMRF_2081_1_BM	chr_1p	-1.067524115755627	clonal
MMRF_2082_1_BM	chr_1p	0	normal
MMRF_2083_1_BM	chr_1p	-0.13290460878885316	subclonal_minor
MMRF_2087_1_BM	chr_1p	-1.1146838156484458	clonal
MMRF_2089_1_BM	chr_1p	0.7984994640943194	subclonal_major
MMRF_2090_1_BM	chr_1p	0	normal
MMRF_2091_1_BM	chr_1p	0	normal
MMRF_2093_1_BM	chr_1p	0	normal
MMRF_2095_1_BM	chr_1p	0	normal
MMRF_2097_1_BM	chr_1p	0	normal
MMRF_2098_1_BM	chr_1p	0	normal
MMRF_2101_1_BM	chr_1p	0	normal
MMRF_2102_1_BM	chr_1p	0	normal
MMRF_2106_1_BM	chr_1p	0	normal
MMRF_2107_1_BM	chr_1p	0.2090032154340836	subclonal_minor
MMRF_2111_1_BM	chr_1p	0	normal
MMRF_2112_1_BM	chr_1p	-0.9389067524115755	clonal
MMRF_2113_1_BM	chr_1p	0.8681672025723473	subclonal_major
MMRF_2115_1_BM	chr_1p	-0.9496248660235798	clonal
MMRF_2116_1_BM	chr_1p	0	normal
MMRF_2118_1_BM	chr_1p	0	normal
MMRF_2119_1_BM	chr_1p	0	normal
MMRF_2122_1_BM	chr_1p	0	normal
MMRF_2124_1_BM	chr_1p	0	normal
MMRF_2125_1_BM	chr_1p	0	normal
MMRF_2126_1_BM	chr_1p	0	normal
MMRF_2128_1_BM	chr_1p	-0.12861736334405144	subclonal_minor
MMRF_2129_1_BM	chr_1p	0	normal
MMRF_2132_1_BM	chr_1p	-1.0064308681672025	clonal
MMRF_2137_1_BM	chr_1p	0.6741693461950696	subclonal_major
MMRF_2138_1_BM	chr_1p	0	normal
MMRF_2140_1_BM	chr_1p	0	normal
MMRF_2141_1_BM	chr_1p	-0.1082529474812433	subclonal_minor
MMRF_2143_1_BM	chr_1p	0	normal
MMRF_2144_1_BM	chr_1p	0	normal
MMRF_2149_1_BM	chr_1p	0	normal
MMRF_2150_1_BM	chr_1p	0	normal
MMRF_2151_1_BM	chr_1p	0	normal
MMRF_2152_1_BM	chr_1p	0	normal
MMRF_2153_1_BM	chr_1p	0.112540192926045	subclonal_minor
MMRF_2159_1_BM	chr_1p	0	normal
MMRF_2167_1_BM	chr_1p	0	normal
MMRF_2168_1_BM	chr_1p	0	normal
MMRF_2170_1_BM	chr_1p	0.24115755627009647	subclonal_minor
MMRF_2172_1_BM	chr_1p	0	normal
MMRF_2173_1_BM	chr_1p	-0.22615219721329044	subclonal_minor
MMRF_2174_1_BM	chr_1p	0	normal
MMRF_2176_1_BM	chr_1p	0	normal
MMRF_2180_1_BM	chr_1p	0	normal
MMRF_2181_1_BM	chr_1p	0.5959271168274384	subclonal_major
MMRF_2183_1_BM	chr_1p	0	normal
MMRF_2185_1_BM	chr_1p	0	normal
MMRF_2186_1_BM	chr_1p	0	normal
MMRF_2187_1_BM	chr_1p	0	normal
MMRF_2190_1_BM	chr_1p	0	normal
MMRF_2191_1_BM	chr_1p	0	normal
MMRF_2194_1_BM	chr_1p	0	normal
MMRF_2195_1_BM	chr_1p	0	normal
MMRF_2197_1_BM	chr_1p	0	normal
MMRF_2198_1_BM	chr_1p	-0.9442658092175776	clonal
MMRF_2199_1_BM	chr_1p	0	normal
MMRF_2200_1_BM	chr_1p	-0.8713826366559484	subclonal_major
MMRF_2201_1_BM	chr_1p	0	normal
MMRF_2203_1_BM	chr_1p	0	normal
MMRF_2204_1_BM	chr_1p	0	normal
MMRF_2207_1_BM	chr_1p	0	normal
MMRF_2209_1_BM	chr_1p	0	normal
MMRF_2211_1_BM	chr_1p	-1.0107181136120043	clonal
MMRF_2213_1_BM	chr_1p	0	normal
MMRF_2214_1_BM	chr_1p	0	normal
MMRF_2215_1_BM	chr_1p	0	normal
MMRF_2216_1_BM	chr_1p	0	normal
MMRF_2217_1_BM	chr_1p	0	normal
MMRF_2220_1_BM	chr_1p	0	normal
MMRF_2222_1_BM	chr_1p	0	normal
MMRF_2223_1_BM	chr_1p	0	normal
MMRF_2224_1_BM	chr_1p	0	normal
MMRF_2225_1_BM	chr_1p	0	normal
MMRF_2226_1_BM	chr_1p	0	normal
MMRF_2228_1_BM	chr_1p	0	normal
MMRF_2229_1_BM	chr_1p	0	normal
MMRF_2230_1_BM	chr_1p	0	normal
MMRF_2231_1_BM	chr_1p	0	normal
MMRF_2232_1_BM	chr_1p	0.8885316184351553	subclonal_major
MMRF_2236_1_BM	chr_1p	0	normal
MMRF_2237_1_BM	chr_1p	0	normal
MMRF_2238_1_BM	chr_1p	1.1007502679528403	clonal
MMRF_2240_1_BM	chr_1p	0	normal
MMRF_2244_1_BM	chr_1p	0	normal
MMRF_2245_1_BM	chr_1p	0	normal
MMRF_2246_1_BM	chr_1p	0	normal
MMRF_2250_1_BM	chr_1p	0	normal
MMRF_2251_1_BM	chr_1p	0	normal
MMRF_2253_1_BM	chr_1p	2.1747052518756695	clonal
MMRF_2257_1_BM	chr_1p	0	normal
MMRF_2258_1_BM	chr_1p	0	normal
MMRF_2265_1_BM	chr_1p	0	normal
